Ad schedule day and hour report
"May 10, 2026 - May 26, 2026"
Day of the week,Hour of the day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Saturday,15,1,9,11.11%,EUR,0.61,0.61,0.00%,0.00,0.00
Friday,7,0,24,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Friday,13,1,14,7.14%,EUR,0.51,0.51,0.00%,0.00,0.00
Thursday,6,3,23,13.04%,EUR,0.83,2.48,0.00%,0.00,0.00
Thursday,15,3,87,3.45%,EUR,0.67,2.00,0.00%,0.00,0.00
Thursday,18,2,43,4.65%,EUR,0.55,1.11,0.00%,0.00,0.00
Wednesday,2,0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Wednesday,21,0,5,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Tuesday,10,6,55,10.91%,EUR,0.72,4.34,0.00%,0.00,0.00
Monday,11,12,125,9.60%,EUR,0.93,11.20,0.00%,0.00,0.00
Sunday,11,0,3,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Saturday,13,2,9,22.22%,EUR,0.63,1.25,0.00%,0.00,0.00
Friday,15,2,32,6.25%,EUR,0.49,0.97,0.00%,0.00,0.00
Friday,20,0,4,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Thursday,17,2,47,4.26%,EUR,0.60,1.20,0.00%,0.00,0.00
Thursday,21,1,19,5.26%,EUR,0.42,0.42,0.00%,0.00,0.00
Thursday,22,2,27,7.41%,EUR,0.53,1.06,0.00%,0.00,0.00
Tuesday,13,0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Monday,8,5,49,10.20%,EUR,0.77,3.86,0.00%,0.00,0.00
Sunday,10,2,5,40.00%,EUR,0.65,1.29,0.00%,0.00,0.00
Sunday,22,0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Saturday,9,0,4,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Friday,6,2,20,10.00%,EUR,0.78,1.56,0.00%,0.00,0.00
Thursday,16,4,90,4.44%,EUR,0.55,2.18,0.00%,0.00,0.00
Wednesday,5,1,7,14.29%,EUR,1.16,1.16,0.00%,0.00,0.00
Tuesday,7,0,9,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Monday,9,4,70,5.71%,EUR,0.78,3.11,0.00%,0.00,0.00
Sunday,16,0,4,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Sunday,18,2,10,20.00%,EUR,0.66,1.32,0.00%,0.00,0.00
Sunday,19,0,5,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Sunday,21,0,7,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Saturday,3,0,4,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Saturday,16,0,7,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Friday,3,0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Friday,8,5,72,6.94%,EUR,0.80,4.02,0.00%,0.00,0.00
Friday,14,3,57,5.26%,EUR,0.56,1.68,0.00%,0.00,0.00
Friday,17,1,31,3.23%,EUR,0.51,0.51,0.00%,0.00,0.00
Friday,23,2,10,20.00%,EUR,4.60,9.20,0.00%,0.00,0.00
Thursday,9,5,96,5.21%,EUR,0.64,3.20,0.00%,0.00,0.00
Thursday,14,8,84,9.52%,EUR,0.71,5.67,0.00%,0.00,0.00
Wednesday,6,1,11,9.09%,EUR,1.14,1.14,0.00%,0.00,0.00
Wednesday,8,11,84,13.10%,EUR,1.09,12.03,0.00%,0.00,0.00
Wednesday,10,5,85,5.88%,EUR,0.82,4.12,0.00%,0.00,0.00
Wednesday,11,4,33,12.12%,EUR,0.95,3.79,0.00%,0.00,0.00
Wednesday,23,1,6,16.67%,EUR,1.13,1.13,0.00%,0.00,0.00
Tuesday,16,1,48,2.08%,EUR,1.33,1.33,0.00%,0.00,0.00
Monday,7,0,15,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Monday,18,0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Sunday,4,0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Saturday,0,0,3,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Saturday,11,0,4,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Friday,1,0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Friday,10,10,117,8.55%,EUR,0.72,7.19,0.00%,0.00,0.00
Friday,22,0,12,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Thursday,1,0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Wednesday,1,1,14,7.14%,EUR,1.21,1.21,0.00%,0.00,0.00
Wednesday,7,2,34,5.88%,EUR,1.20,2.39,0.00%,0.00,0.00
Wednesday,13,1,14,7.14%,EUR,0.35,0.35,0.00%,0.00,0.00
Tuesday,2,0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Tuesday,8,3,47,6.38%,EUR,0.93,2.78,0.00%,0.00,0.00
Tuesday,9,14,98,14.29%,EUR,0.90,12.57,0.00%,0.00,0.00
Tuesday,19,4,24,16.67%,EUR,0.99,3.96,0.00%,0.00,0.00
Tuesday,21,4,47,8.51%,EUR,1.29,5.17,0.00%,0.00,0.00
Monday,6,0,5,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Sunday,20,3,11,27.27%,EUR,0.51,1.53,0.00%,0.00,0.00
Saturday,4,1,3,33.33%,EUR,0.42,0.42,0.00%,0.00,0.00
Saturday,14,2,16,12.50%,EUR,0.62,1.24,0.00%,0.00,0.00
Saturday,18,0,7,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Saturday,22,0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Friday,19,0,14,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Thursday,7,2,19,10.53%,EUR,0.77,1.53,0.00%,0.00,0.00
Wednesday,9,7,58,12.07%,EUR,0.88,6.16,0.00%,0.00,0.00
Tuesday,0,0,2,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Monday,0,0,4,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Monday,5,1,7,14.29%,EUR,0.79,0.79,0.00%,0.00,0.00
Monday,12,4,78,5.13%,EUR,0.94,3.75,0.00%,0.00,0.00
Sunday,0,1,4,25.00%,EUR,0.54,0.54,0.00%,0.00,0.00
Saturday,23,0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Friday,9,9,120,7.50%,EUR,0.71,6.41,0.00%,0.00,0.00
Thursday,0,3,8,37.50%,EUR,0.83,2.49,0.00%,0.00,0.00
Wednesday,16,3,43,6.98%,EUR,0.48,1.44,0.00%,0.00,0.00
Wednesday,17,1,25,4.00%,EUR,1.32,1.32,0.00%,0.00,0.00
Tuesday,14,0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Tuesday,15,0,1,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Saturday,1,1,3,33.33%,EUR,0.63,0.63,0.00%,0.00,0.00
Friday,16,1,37,2.70%,EUR,0.53,0.53,0.00%,0.00,0.00
Thursday,8,6,59,10.17%,EUR,0.77,4.65,0.00%,0.00,0.00
Thursday,19,2,19,10.53%,EUR,0.51,1.02,0.00%,0.00,0.00
