Search terms insight report
"April 28, 2026 - May 25, 2026 compared to March 31, 2026 - April 27, 2026"
Search category,Search subcategory,Search terms,Impressions,Impressions (Change %),Clicks,Clicks (Change %),Conversions,Conversions (Change %),Conv. value,Conv. value (Change %),CTR,CTR (Change %),Conv. rate,Conv. rate (Change %),Search volume,Search volume (Change %)
super ammortamento 2026,Subcategory - Total, --,81,∞,7,∞,0.00,0.00%,0.00,0.00%,8.64%,0.00%,0.00%,0.00%,"1,000 - 10,000",-30.00%
super ammortamento 2026,Uncategorized search terms, --,0,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
super ammortamento 2026,Uncategorized search terms,superammortamento 2026,6,0.00%,3,0.00%,0.00,0.00%,0.00,0.00%,50.00%,0.00%,0.00%,0.00%, --, --
super ammortamento 2026,Uncategorized search terms,super ammortamento 2026,25,0.00%,3,0.00%,0.00,0.00%,0.00,0.00%,12.00%,0.00%,0.00%,0.00%, --, --
super ammortamento 2026,Uncategorized search terms,maxi ammortamento 2026,6,0.00%,1,0.00%,0.00,0.00%,0.00,0.00%,16.67%,0.00%,0.00%,0.00%, --, --
super ammortamento 2026,Uncategorized search terms,super ammortamento 2025,1,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
super ammortamento 2026,Uncategorized search terms,super ammortamento 2026 come funziona,8,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
super ammortamento 2026,Uncategorized search terms,super ammortamento 2026 esempio,3,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
super ammortamento 2026,Uncategorized search terms,super ammortamento beni strumentali 2026,2,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
super ammortamento 2026,Uncategorized search terms,superammortamento 2025,1,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
super ammortamento 2026,Uncategorized search terms,superammortamento 2026 come funziona,9,0.00%,0,0.00%,0.00,0.00%,0.00,0.00%,0.00%,0.00%,0.00%,0.00%, --, --
iperammortamento 4.0 2026,Subcategory - Total, --,75,∞,9,∞,0.00,0.00%,0.00,0.00%,12.00%,0.00%,0.00%,0.00%,"1,000 - 10,000",4.00%
