# ----------------------------------------
# Pages and screens: Page title and screen class
# Account: MUVI LAB
# Property: bognolo.it
# ----------------------------------------
# 
# All Users
# Start date: 20260428
# End date: 20260525
Page title and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Iperammortamento 2026 | Perizia Tecnica Asseverata | Studio Bognolo,480,159,3.018867924528302,97.06918238993711,26,0,0
B O G N O L O – Studio tecnico Ingegneria Industriale,126,40,3.15,57.475,0,0,0
Perizie Tecniche – B O G N O L O,25,12,2.0833333333333335,64.66666666666667,1,0,0
Chi siamo – B O G N O L O,23,11,2.090909090909091,45.81818181818182,0,0,0
Contatti – B O G N O L O,12,9,1.3333333333333333,30.555555555555557,0,0,0
Progettazione Meccanica – B O G N O L O,10,8,1.25,39.25,0,0,0
Servizi per l’ufficio tecnico – B O G N O L O,8,5,1.6,22,0,0,0
header_iperammortamento – B O G N O L O,8,1,8,18,0,0,0
Industria 4.0 & 5.0 – B O G N O L O,7,3,2.3333333333333335,78.33333333333333,0,0,0
Consulenza marcatura CE – B O G N O L O,4,4,1,45.25,0,0,0
Pagina non trovata – B O G N O L O,4,3,1.3333333333333333,95,0,0,0
Prototipazione e Ingegnerizzazione del prodotto – B O G N O L O,4,3,1.3333333333333333,9.666666666666666,0,0,0
Form ammortamento 2026 – B O G N O L O,3,1,3,0,0,0,0
Test landing – B O G N O L O,2,1,2,0,0,0,0
2026年超额折旧 | 认证技术评估 | 博尼奥洛工作室,0,1,0,11,0,0,0
B O G N O L O – Industrial Engineering Technical Firm,0,1,0,1,0,0,0
