"Nome progetto","Bognolo"
"Intervallo di date","05/11/2026 00:00 - 06/11/2026 23:59"


"URL visitato corrisponde a regex","^https://bognolo\.it/iperammortamento-2026/(\?.*)?$"

"Totale sessioni","100"

"URL visitato corrisponde a regex","^https://bognolo\.it/iperammortamento-2026/(\?.*)?$"

"Data","Ora","Durata sessione","Voce URL","Esci dall'URL","Referrer:","ID utente Clarity","Browser","Dispositivo","Sistema operativo","Nazione","Numero di pagine","Clic sulla sessione","Preferiti","Collegamento registrazione"
"06/08/2026","10:32","05:36","https://bognolo.it/","https://bognolo.it/","https://www.google.com/","1kxmn8t","Chrome","PC","MacOS","Italy","7","14","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1kxmn8t/12rwx0r/?ss=1780907575000&sd=336"
"06/08/2026","10:32","02:36","https://bognolo.it/iperammortamento-2026/","https://bognolo.it/iperammortamento-2026/","","g1ncgl","SamsungInternet","Mobile","Android","Italy","3","2","FALSE","https://clarity.microsoft.com/player/wqevuebs52/g1ncgl/13nbjkz/?ss=1780907554000&sd=156"
"06/08/2026","09:55","00:01","https://bognolo.it/iperammortamento-2026/","https://bognolo.it/iperammortamento-2026/","","tx5dgx","Chrome","PC","MacOS","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/tx5dgx/148i2ol/?ss=1780905315000&sd=1"
"06/08/2026","09:06","02:07","https://bognolo.it/iperammortamento-2026/","https://bognolo.it/iperammortamento-2026/","","g1ncgl","SamsungInternet","Mobile","Android","Italy","2","11","FALSE","https://clarity.microsoft.com/player/wqevuebs52/g1ncgl/16hy9n5/?ss=1780902403000&sd=127"
"06/05/2026","18:28","22:49","https://bognolo.it/iperammortamento-2026/?builder=true&builder_id=d424bb81e54fe91edd49bbf26d171820","https://bognolo.it/iperammortamento-2026/?builder=true&builder_id=d424bb81e54fe91edd49bbf26d171820","https://bognolo.it/iperammortamento-2026/?fb-edit=1","1kt91pa","Firefox","PC","Linux","Italy","2","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1kt91pa/1ogu6e0/?ss=1780676928000&sd=1369"
"06/05/2026","15:54","09:45","https://bognolo.it/iperammortamento-2026/","https://bognolo.it/iperammortamento-2026/#form","","16earks","ChromeMobile","Mobile","iOS","Italy","3","4","FALSE","https://clarity.microsoft.com/player/wqevuebs52/16earks/1aq4iye/?ss=1780667667000&sd=585"
"06/05/2026","13:37","24:09","https://bognolo.it/iperammortamento-2026/","https://bognolo.it/iperammortamento-2026/","","wgwl34","Edge","PC","Windows","Italy","3","10","FALSE","https://clarity.microsoft.com/player/wqevuebs52/wgwl34/i80tby/?ss=1780659431000&sd=1449"
"06/05/2026","11:11","07:10","https://bognolo.it/","https://bognolo.it/iperammortamento-2026/?builder=true&builder_id=4a3b89ea0fc78868b1ec96cee2b6403e","","1kt91pa","Firefox","PC","Linux","Italy","2","8","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1kt91pa/19ikrcf/?ss=1780650662000&sd=430"
"06/04/2026","13:30","02:32","https://bognolo.it/","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=CjwKCAjwxITRBhBYEiwA6mZm7d5Gn9_wWOJ_NN9VIo26gZVTvPVwqb7un-R6QJNef6bJ0iVEYTHt2hoCIpsQAvD_BwE","https://bognolo.it/","i1o6a0","GoogleApp","Mobile","iOS","Italy","2","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/i1o6a0/7n4kb7/?ss=1780572616000&sd=152"
"06/04/2026","11:11","00:09","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRogjMS7Us8WvHunnIYoL-tpWO&gclid=CjwKCAjwxITRBhBYEiwA6mZm7Yo_mPKPPjY5yHeZdyTpPUO6CUPFiyvdpzZsKgmy7M0F_6YMUIYcfBoCf44QAvD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRogjMS7Us8WvHunnIYoL-tpWO&gclid=CjwKCAjwxITRBhBYEiwA6mZm7Yo_mPKPPjY5yHeZdyTpPUO6CUPFiyvdpzZsKgmy7M0F_6YMUIYcfBoCf44QAvD_BwE","https://www.google.com/","1866mf8","ChromeMobile","Mobile","Android","Italy","2","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1866mf8/fr1jqk/?ss=1780564290000&sd=9"
