Asset performance report
"May 11, 2026 - June 11, 2026"
Asset,Asset type,Campaign type,Used by,Pinned position 1,Pinned position 2,Pinned position 3,Pinned,Added by,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Perizia Iperammortamento,Headline,Search,1,0,0,0,0,Advertiser,573,55,9.60%,EUR,0.83,45.75,0.00%,0.00,0.00
Il Tuo Bene Rientra? Scoprilo,Headline,Search,1,0,0,0,0,Advertiser,65,4,6.15%,EUR,0.30,1.21,0.00%,0.00,0.00
Ottieni Perizia Asseverata,Headline,Search,1,0,0,0,0,Advertiser,9,0,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Perizia asseverata macchinari,Headline,Search,1,0,0,0,0,Advertiser,283,26,9.19%,EUR,1.00,26.09,0.00%,0.00,0.00
Agevolazione Iperammortamento,Headline,Search,1,0,0,0,0,Advertiser,935,81,8.66%,EUR,0.94,76.24,0.00%,0.00,0.00
Iter Completo Iperammortamento,Headline,Search,1,0,0,0,0,Advertiser,"2,896",214,7.39%,EUR,0.84,179.48,0.00%,0.00,0.00
Agevolazioni per aziende,Headline,Search,1,0,0,0,0,Advertiser,301,37,12.29%,EUR,0.95,35.27,0.00%,0.00,0.00
Verifica Requisiti 4.0,Headline,Search,1,0,0,0,0,Advertiser,910,82,9.01%,EUR,1.02,83.96,0.00%,0.00,0.00
Fotovoltaico Agevolato 2026,Headline,Search,1,0,0,0,0,Advertiser,961,73,7.60%,EUR,0.88,64.55,0.00%,0.00,0.00
Iperammortamento per software,Headline,Search,1,0,0,0,0,Advertiser,2,0,0.00%,EUR,0,0.00,0.00%,0.00,0.00
Agevolazioni Macchinari 2026,Headline,Search,1,0,0,0,0,Advertiser,807,68,8.43%,EUR,0.99,67.19,0.00%,0.00,0.00
