Content suitability
All time
Content suitability placement name (group),Content Suitability placement type,Campaign,Ad group,Impr.
informazionefiscale.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,270
businessonline.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,223
hdblog.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,142
taboolanews.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,137
ilgiornale.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,111
youtube.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,106
vaielettrico.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,105
immobiliare.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,90
radiogold.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,78
studiomadera.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,75
subito.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,73
tuttolavoro24.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,72
edilizia.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,65
solitalian.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,63
lavoripubblici.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,52
casadaprivato.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,50
casamontagna.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,43
forumelettrico.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,42
laleggepertutti.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,41
"Mobile App: Burraco classico carte online (Google Play), by Ace of Clubs",Mobile application,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,40
ilfoglio.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,39
altervista.org,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,38
money.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,38
ladige.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,36
ilmeteo.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,35
ascuolaoggi.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,34
3bmeteo.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,31
soldionline.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,31
"Mobile App: PDF Reader App: Read All PDF (Google Play), by Trusted PDF Tools",Mobile application,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,30
pmi.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,28
avvocatoandreani.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,27
giallozafferano.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,25
pianetadesign.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,25
centrofiscale.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,24
ENERGIA FAI DA TE,YouTube channel,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,23
gamberorosso.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,21
brocardi.it,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,20
labenedizione.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,19
fiscomania.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,18
"Mobile App: Milan News (Google Play), by TC&C srl",Mobile application,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,17
solitario-verde.com,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,17
atechguide.org,Webpage,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,15
Soluzioni Green,YouTube channel,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,14
