Landing pages
All time
Landing page,Campaign,Mobile-friendly click rate,Valid AMP click rate,Mobile speed score,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
https://bognolo.it/iperammortamento-2026/,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,525,"11,133",4.72%,EUR,0.94,491.32
https://www.bognolo.it/perizie-tecniche/,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,2,"2,007",0.10%,EUR,0.73,1.46
https://bognolo.it/chi-siamo/,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,1,135,0.74%,EUR,0.38,0.38
https://bognolo.it/iperammortamento-2026/#studio_bognolo,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,1,178,0.56%,EUR,2.83,2.83
http://www.bognolo.it/lo-studio/chi-siamo/,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,1,788,0.13%,EUR,0.31,0.31
https://www.bognolo.it/lo-studio/chi-siamo/,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,0,855,0.00%,EUR,0,0.00
https://www.bognolo.it/professionalita/,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,0,3,0.00%,EUR,0,0.00
https://www.bognolo.it/service/progettazione/,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,0,84,0.00%,EUR,0,0.00
https://bognolo.it/iperammortamento-2026/#form,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,0,169,0.00%,EUR,0,0.00
https://www.bognolo.it/servizi/,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,0,"1,520",0.00%,EUR,0,0.00
https://www.bognolo.it/contatti/,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,0,"1,544",0.00%,EUR,0,0.00
https://bognolo.it/iperammortamento-2026/#tipologie_intervento,Iperammortamento 2026 - Traffic - Search - AI Max, --, --, --,0,223,0.00%,EUR,0,0.00
