Location report
"May 1, 2026 - June 18, 2026"
Location,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
"Province of Verona, Veneto, Italy", --,92,"1,786",5.15%,EUR,0.78,71.99,0.00%,0.00,0.00
"Metropolitan City of Venice, Veneto, Italy", --,76,"1,298",5.86%,EUR,1.10,83.80,0.00%,0.00,0.00
"Province of Belluno, Veneto, Italy", --,12,263,4.56%,EUR,0.64,7.65,0.00%,0.00,0.00
"Province of Vicenza, Veneto, Italy", --,112,"1,694",6.61%,EUR,1.13,126.24,0.00%,0.00,0.00
"Province of Treviso, Veneto, Italy", --,90,"1,885",4.77%,EUR,0.88,78.94,0.00%,0.00,0.00
"Emilia-Romagna, Italy", --,0,7,0.00%,EUR,0,0.00,0.00%,0.00,0.00
"Province of Padua, Veneto, Italy", --,107,"2,236",4.79%,EUR,0.88,94.34,0.00%,0.00,0.00
"Autonomous Province of Trento, Trentino-South Tyrol, Italy", --,45,"1,191",3.78%,EUR,0.95,42.65,0.00%,0.00,0.00
"Lombardy, Italy", --,3,49,6.12%,EUR,2.08,6.24,0.00%,0.00,0.00
,Total: Locations,537,"10,409",5.16%,EUR,0.95,511.85,0.00%,0.00,0.00
,Total: Other locations,0,0, --,EUR,0,0.00,0.00%,0.00,0.00
,Total: Campaign,537,"10,409",5.16%,EUR,0.95,511.85,0.00%,0.00,0.00
