Search keyword report
"May 11, 2026 - June 11, 2026"
Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Conversions,Currency code,Cost / conv.,Final URL,Clicks,Impr.,CTR,Avg. CPC,Cost,Conv. rate
Enabled,perizia asseverata,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,5,87,5.75%,0.96,4.79,0.00%
Enabled,asseverazione tecnico abilitato,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,1,11,9.09%,0.60,0.60,0.00%
Paused,perizia di stima asseverata,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused; low quality,0.00,EUR,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,iperammortamento fotovoltaico aziendale,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,perizia asseverata iperammortamento,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,perizia tecnica asseverata,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused; low quality,0.00,EUR,0.00,,0,1,0.00%,0,0.00,0.00%
Enabled,"""chi fa perizia iperammortamento""",Phrase match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,stima asseverata,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,perizia asseverata immobile fac simile,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""studio abilitato iperammortamento""",Phrase match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,[perizia asseverata iperammortamento],Exact match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,iperammortamento fotovoltaico,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused; low quality,0.00,EUR,0.00,,3,49,6.12%,0.60,1.81,0.00%
Paused,modello perizia giurata,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,chi fa perizia iperammortamento,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,perizia asseverata o giurata differenze,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,[consulenza iperammortamento],Exact match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,"""iperammortamento stampante 3d industriale""",Phrase match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,perizia asseverata immobile,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,iperammortamento software gestionale,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,7,118,5.93%,0.47,3.31,0.00%
Paused,perizia giurata immobile fac simile,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,incentivi magazzino automatizzato,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused; rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,agevolazioni cobot industria,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused; rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,agevolazione fotovoltaico industriale 2026,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused; rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,studio abilitato iperammortamento,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,fac simile perizia asseverata immobile,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,bonus retrofit macchinari,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,credito imposta fotovoltaico aziendale,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused; rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,iperammortamento stampante 3d industriale,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,perizia asseverata macchinari,Broad match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Paused,iperammortamento robot industriale,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused; rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,interconnessione macchinari 4.0,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,12,123,9.76%,0.59,7.13,0.00%
Enabled,"""iperammortamento impianti produttivi""",Phrase match,Gruppo Inserzioni Iperammortamento,Not eligible,rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
Enabled,iperammortamento macchinari,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,5,197,2.54%,0.71,3.53,0.00%
Enabled,iperammortamento 2026,Broad match,Gruppo Inserzioni Iperammortamento,Eligible,,0.00,EUR,0.00,,264,"3,432",7.69%,0.87,228.56,0.00%
Paused,asseveramento tecnico,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused,0.00,EUR,0.00,,0,9,0.00%,0,0.00,0.00%
Paused,agevolazioni revamping macchinari,Broad match,Gruppo Inserzioni Iperammortamento,Paused,paused; rarely served,0.00,EUR,0.00,,0,0, --,0,0.00,0.00%
