Search keyword
All time
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
iperammortamento 2026,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,284,"3,722",7.63%,0.96,273.48,28.32%,61.17%,0.00,0,0,0.00%
agevolazioni acquisto macchinari 2026,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,126,"1,829",6.89%,0.92,115.94,28.85%,54.20%,0.00,0,0,0.00%
perizia asseverata,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,12,162,7.41%,2.49,29.92,36.28%,49.56%,0.00,0,0,0.00%
perizia iperammortamento,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,12,132,9.09%,1.83,21.98,28.24%,63.53%,0.00,0,0,0.00%
interconnessione macchinari 4.0,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,12,123,9.76%,0.59,7.13,22.41%,51.72%,0.00,0,0,0.00%
iperammortamento software gestionale,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,10,175,5.71%,1.63,16.30,13.79%,47.13%,0.00,0,0,0.00%
iperammortamento macchinari,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,7,217,3.23%,0.75,5.25,23.81%,51.02%,0.00,0,0,0.00%
iperammortamento fotovoltaico,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,3,49,6.12%,0.60,1.81,12.82%,43.59%,0.00,0,0,0.00%
modello di perizia asseverata,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,2,8,25.00%,0.52,1.05,16.67%,33.33%,0.00,0,0,0.00%
asseverazione tecnico abilitato,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,1,11,9.09%,0.60,0.60,42.86%,42.86%,0.00,0,0,0.00%
consulenza iperammortamento,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,1,13,7.69%,2.56,2.56,37.50%,62.50%,0.00,0,0,0.00%
perizia giurata asseverata,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0
perizia semplice,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0
perizia asseverata immobile,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0
asseverata perizia,,,,Iperammortamento 2026 - Traffic - Search - AI Max,Gruppo Inserzioni Iperammortamento,EUR,0,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0
