Search terms
All time
Search term,Search terms match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
iperammortamento 2026,Exact match,,74,909,8.14%,EUR,0.97,71.50,34.87%,71.09%,0.00,0,0,0.00%
iperammortamento,Broad match,,17,199,8.54%,EUR,0.78,13.21,32.72%,63.58%,0.00,0,0,0.00%
iperammortamento 2026 come funziona,Exact match (close variant),,14,151,9.27%,EUR,0.84,11.76,32.69%,79.81%,0.00,0,0,0.00%
iper ammortamento 2026,Exact match (close variant),,11,154,7.14%,EUR,1.08,11.93,29.51%,63.93%,0.00,0,0,0.00%
iperammortamento 2026 decreto attuativo,Phrase match,,9,95,9.47%,EUR,0.75,6.72,27.40%,56.16%,0.00,0,0,0.00%
nuove tecnologie industriali,Broad match,,8,12,66.67%,EUR,0.44,3.48,0,0,0.00,0,0,0.00%
iperammortamento 2026 esempio pratico,Phrase match,,6,68,8.82%,EUR,0.84,5.06,45.83%,72.92%,0.00,0,0,0.00%
iperammortamento 2026 fotovoltaico,Phrase match,,4,46,8.70%,EUR,1.45,5.82,25.00%,77.78%,0.00,0,0,0.00%
iperammortamento 2026 fotovoltaico esempio,Phrase match,,4,20,20.00%,EUR,0.80,3.19,25.00%,75.00%,0.00,0,0,0.00%
iperammortamento 2026 quali beni,Phrase match,,4,27,14.81%,EUR,1.01,4.03,21.74%,65.22%,0.00,0,0,0.00%
industria 4.0,Broad match,,4,29,13.79%,EUR,0.75,2.99,9.52%,57.14%,0.00,0,0,0.00%
sostenibilità aziendale,Broad match,,4,10,40.00%,EUR,0.86,3.43,0,0,0.00,0,0,0.00%
legge sabatini 2026,Broad match,,3,26,11.54%,EUR,0.63,1.89,41.18%,64.71%,0.00,0,0,0.00%
superammortamento 2026,Broad match,,3,15,20.00%,EUR,0.83,2.48,54.55%,63.64%,0.00,0,0,0.00%
perizia iperammortamento,Exact match,,2,3,66.67%,EUR,1.29,2.57,33.33%,100.00%,0.00,0,0,0.00%
calcolo iperammortamento 2026,Phrase match,,2,18,11.11%,EUR,0.94,1.87,33.33%,66.67%,0.00,0,0,0.00%
decreto attuativo iperammortamento 2026 pdf,Phrase match,,2,27,7.41%,EUR,1.23,2.47,15.00%,45.00%,0.00,0,0,0.00%
iperammortamento fotovoltaico 2026,Phrase match,,2,14,14.29%,EUR,0.93,1.86,33.33%,88.89%,0.00,0,0,0.00%
incentivi macchinari,Broad match,,2,2,100.00%,EUR,0.64,1.28,0.00%,100.00%,0.00,0,0,0.00%
iper ammortamento 180,Broad match,,2,16,12.50%,EUR,0.92,1.84,36.36%,63.64%,0.00,0,0,0.00%
iper ammortamento 4.0,Broad match,,2,3,66.67%,EUR,0.86,1.72,33.33%,33.33%,0.00,0,0,0.00%
iper ammortamento fotovoltaico,Broad match,,2,8,25.00%,EUR,0.94,1.88,40.00%,100.00%,0.00,0,0,0.00%
iperammortamento 180 come funziona,Broad match,,2,7,28.57%,EUR,0.93,1.85,50.00%,83.33%,0.00,0,0,0.00%
iperammortamento come funziona,Broad match,,2,17,11.76%,EUR,0.91,1.82,42.86%,71.43%,0.00,0,0,0.00%
nuova sabatini 2026,Broad match,,2,21,9.52%,EUR,0.51,1.02,33.33%,66.67%,0.00,0,0,0.00%
perizie 4.0,Broad match,,2,3,66.67%,EUR,3.97,7.94,50.00%,50.00%,0.00,0,0,0.00%
progetto sostenibilità aziendale,Broad match,,2,6,33.33%,EUR,0.71,1.42,0,0,0.00,0,0,0.00%
come funziona iperammortamento 2026,Exact match (close variant),,2,17,11.76%,EUR,0.70,1.40,14.29%,64.29%,0.00,0,0,0.00%
