"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels","Data comment",Date,Reach,"3-second video views","Seconds viewed","Average Seconds viewed","Reactions, comments and shares",Reactions,Comments,Shares,"1-minute video views","3-second viewers","1-minute viewers"
1430042701433705,,181681532021449,NEOGELA,,114,"08/26/2025 02:59",,,Lifetime,3216,1443,61307.071,19.327,49,46,0,3,418,1418,408
812428794786212,,181681532021449,NEOGELA,,16,"08/29/2025 02:59",,,Lifetime,420,263,2911.449,6.755,3,3,0,0,,,
1143353587670097,,181681532021449,NEOGELA,,12,"08/25/2025 02:59",,,Lifetime,525,320,3552.563,6.702,13,7,5,1,,,
24269168059419446,,181681532021449,NEOGELA,,76,"08/22/2025 02:59",,,Lifetime,4460,2138,72986.56,16.505,73,62,0,11,,,
802983992157948,,181681532021449,NEOGELA,,62,"08/19/2025 02:59",,,Lifetime,430,215,7252.977,16.081,6,4,0,2,,,
1846077985953159,,181681532021449,NEOGELA,,7,"08/14/2025 02:59",,,Lifetime,375,172,2001.776,5.454,0,0,0,0,,,
1440554697224978,,181681532021449,NEOGELA,,61,"08/12/2025 02:59",,,Lifetime,375,117,2192.114,5.466,1,0,0,1,,,
24346486791657258,,181681532021449,NEOGELA,,59,"08/08/2025 02:59",,,Lifetime,448,229,6931.809,13.835,7,4,0,3,,,
4011398445787107,,181681532021449,NEOGELA,,52,"08/05/2025 02:59",,,Lifetime,1194,318,5183.957,4.695,10,7,0,3,,,
2056894121790261,,181681532021449,NEOGELA,,26,"10/31/2025 03:59",,,Lifetime,444,95,1466.056,3.37,2,2,0,0,0,95,0
1078697364306243,,181681532021449,NEOGELA,,103,"10/29/2025 03:59",,,Lifetime,5684,2487,87460.451,15.939,67,60,2,5,659,2484,651
1651966949522615,,181681532021449,NEOGELA,,172,"10/27/2025 03:59",,,Lifetime,1016,461,14406.256,13.825,16,12,2,2,69,449,66
1323535195988668,,181681532021449,NEOGELA,,180,"10/23/2025 02:59",,,Lifetime,21998,9706,422874.952,19.308,165,158,3,4,1873,9706,1850
2177348839342169,,181681532021449,NEOGELA,,7,"10/22/2025 02:59",,,Lifetime,690,293,4004.213,5.647,7,5,0,2,0,292,0
767161106296051,,181681532021449,NEOGELA,,150,"10/20/2025 02:59",,,Lifetime,3045,1194,42376.149,13.848,30,27,0,3,207,1169,207
2052800568459664,,181681532021449,NEOGELA,,94,"10/17/2025 02:59",,,Lifetime,12856,5529,208444.661,16.391,198,175,6,17,1514,5529,1514
1529998734934213,,181681532021449,NEOGELA,,65,"10/16/2025 02:59",,,Lifetime,3187,1389,40932.027,13.073,28,23,4,1,360,1378,360
1924496825091664,,181681532021449,NEOGELA,,71,"10/13/2025 02:59",,,Lifetime,8777,2642,110979.664,12.779,108,92,8,8,965,2634,959
1514059336262611,,181681532021449,NEOGELA,,120,"10/09/2025 02:59",,,Lifetime,2441,1534,48641.687,20.326,18,15,2,1,214,1534,210
2491319454575968,,181681532021449,NEOGELA,,99,"10/06/2025 02:59",,,Lifetime,2678,1593,61911.361,21.363,56,46,6,4,470,1480,451
1367372638354518,,181681532021449,NEOGELA,,95,"10/03/2025 02:59",,,Lifetime,2811,1320,39053.169,14.405,29,26,0,3,244,1273,240
1026472636176356,,181681532021449,NEOGELA,,76,"09/30/2025 02:59",,,Lifetime,2612,1192,40485.959,15.619,50,38,5,7,311,1177,311
25652832160986521,,181681532021449,NEOGELA,,14,"09/29/2025 02:59",,,Lifetime,1013,734,9648.842,9.413,8,7,0,1,0,696,0
759441043573082,,181681532021449,NEOGELA,,59,"09/26/2025 02:59",,,Lifetime,1036,549,13080.144,11.794,16,13,2,1,0,506,0
716492221440119,,181681532021449,NEOGELA,,81,"09/23/2025 02:59",,,Lifetime,1280,699,19330.549,15.066,19,15,2,2,132,672,129
1140278604682045,,181681532021449,NEOGELA,,15,"09/22/2025 02:59",,,Lifetime,806,367,4505.453,5.528,3,3,0,0,0,338,0
952618600408141,,181681532021449,NEOGELA,,96,"09/19/2025 02:59",,,Lifetime,896,363,14786.476,16.484,20,15,2,3,106,334,100
1510013600178253,,181681532021449,NEOGELA,,68,"09/16/2025 02:59",,,Lifetime,896,519,12222.798,12.893,16,12,0,4,84,489,83
631620553351925,,181681532021449,NEOGELA,,11,"09/15/2025 02:59",,,Lifetime,693,475,4641.698,6.846,6,6,0,0,0,453,0
1153815726609161,,181681532021449,NEOGELA,,85,"09/12/2025 02:59",,,Lifetime,642,300,6610.099,9.807,6,5,0,1,34,283,33
1790609698222317,,181681532021449,NEOGELA,,74,"09/09/2025 02:59",,,Lifetime,533,231,4242.524,7.699,7,5,2,0,23,219,23
1327429825381211,,181681532021449,NEOGELA,,17,"09/05/2025 02:59",,,Lifetime,724,288,3810.955,5.067,10,9,0,1,0,273,0
1592704965038908,,181681532021449,NEOGELA,,58,"09/03/2025 02:59",,,Lifetime,511,238,2417.561,4.604,2,1,0,1,0,219,0
1469706010726888,,181681532021449,NEOGELA,,104,"09/02/2025 02:59",,,Lifetime,604,298,7610.352,11.835,10,10,0,0,49,280,46
