"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, comments and shares",Reactions,Comments,Shares,"Total clicks","Matched audience targeting consumption (Photo Click)","Other clicks","Views from Organic posts","Views from Boosted posts","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1405295341597214,100063502856757,NEOGELA,"Noi e Armando abbiamo tutto il collagene che ci serve per affrontare la notte di Halloween al meglio 🎃","Noi e Armando abbiamo tutto il collagene che ci serve per affrontare la notte di Halloween al meglio 🎃",26,"10/31/2025 03:59",N/A,https://www.facebook.com/reel/1419365956509471/,0,0,Videos,,,,,Lifetime,459,444,2,2,0,0,1,,1,459,0,444,0,95,0,95,0,0,95,1466.056,3.37,0,0,0
1403525258440889,100063502856757,NEOGELA,"Assolutamente sì! 
Se hai l’osteoporosi, non fermarti: sei ancora in tempo per migliorare. ↗️

La cosa peggiore che si possa fare di fronte ad una diagnosi di osteoporosi è pensare che ormai non ci sia più nulla da fare lasciando che il tempo faccia il suo corso. ❌

Sicuramente capire da dove ha avuto origine la patologia è fondamentale per trovare il percorso di cura più adatto, ma ci sono 4 cose che puoi cominciare a fare subito: 🤔

✅ Mangiare correttamente facendo attenzione a introdurre tutti i nutrienti necessari
✅ Regolarizzare l’attività fisica con carico con l’aiuto di un professionista
✅ Evitare abitudini controproducenti come fumo e alcol
✅ Discutere con il tuo medico l’eventuale assunzione di integratori e/o farmaci

Non trascurare le tue ossa: seguici e scopri come prenderti cura di loro ogni giorno 💪","Assolutamente sì! 
Se hai l’osteoporosi, non fermarti: sei ancora in tempo per migliorare. ↗️

La cosa peggiore che si possa fare di fronte ad una diagnosi di osteoporosi è pensare che ormai non ci sia più nulla da fare lasciando che il tempo faccia il suo corso. ❌

Sicuramente capire da dove ha avuto origine la patologia è fondamentale per trovare il percorso di cura più adatto, ma ci sono 4 cose che puoi cominciare a fare subito: 🤔

✅ Mangiare correttamente facendo attenzione a introdurre tutti i nutrienti necessari
✅ Regolarizzare l’attività fisica con carico con l’aiuto di un professionista
✅ Evitare abitudini controproducenti come fumo e alcol
✅ Discutere con il tuo medico l’eventuale assunzione di integratori e/o farmaci

Non trascurare le tue ossa: seguici e scopri come prenderti cura di loro ogni giorno 💪",103,"10/29/2025 03:59",N/A,https://www.facebook.com/reel/1498038401526060/,0,0,Videos,,,,,Lifetime,5814,5684,67,60,2,5,64,,64,5809,0,5684,0,2487,659,2484,651,0,2487,87460.451,15.939,0,0,0
1401674255292656,100063502856757,NEOGELA,"Così sì è concluso il progetto Area Test 180: 10 persone impegnate per 6 mesi in un percorso di trattamento naturale completo per l’osteoporosi. 😊

✅ Piano alimentare
✅ Programma di allenamento su misura
✅ Integrazione di collagene, vitamine e minerali

I risultati? Li abbiamo monitorati con esami radiografici specifici all’inizio e alla fine del percorso e presto potrete vederli tutti pubblicati sul nostro sito. 
I primi ci hanno già dato grande soddisfazione 🔝

Ringraziamo tutti gli specialisti che hanno collaborato con noi a questo progetto: 
il Dott. Daniele Zeggio, Medico referente
la Dott.ssa Silvana Magi, Biologa Nutrizionista @magi.silvana
la Dott.ssa Marcelli Pales, Fisioterapista @fisioterapiavicenza
il Dott. Davide Teggi, Chinesiologo @fitness40+ 
la Dott.ssa Alessandra Nicolosi, radiologa del Bes Test @bestest_esame

Pronti per una nuova edizione? 🧐","Così sì è concluso il progetto Area Test 180: 10 persone impegnate per 6 mesi in un percorso di trattamento naturale completo per l’osteoporosi. 😊

✅ Piano alimentare
✅ Programma di allenamento su misura
✅ Integrazione di collagene, vitamine e minerali

I risultati? Li abbiamo monitorati con esami radiografici specifici all’inizio e alla fine del percorso e presto potrete vederli tutti pubblicati sul nostro sito. 
I primi ci hanno già dato grande soddisfazione 🔝

Ringraziamo tutti gli specialisti che hanno collaborato con noi a questo progetto: 
il Dott. Daniele Zeggio, Medico referente
la Dott.ssa Silvana Magi, Biologa Nutrizionista @magi.silvana
la Dott.ssa Marcelli Pales, Fisioterapista @fisioterapiavicenza
il Dott. Davide Teggi, Chinesiologo @fitness40+ 
la Dott.ssa Alessandra Nicolosi, radiologa del Bes Test @bestest_esame

Pronti per una nuova edizione? 🧐",172,"10/27/2025 03:59",N/A,https://www.facebook.com/reel/25109068332042754/,0,0,Videos,,,,,Lifetime,1118,1016,16,12,2,2,11,,11,1117,0,1016,0,461,69,449,66,0,461,14406.256,13.825,0,0,0
1397712882355460,100063502856757,NEOGELA,"Ecco cosa ci ha raccontato Mascia la prima volta che ci siamo incontrati.

Mascia non ci conosceva ma da tempo era alla ricerca di una soluzione alternativa per trattare la sua osteoporosi. 🦴

Dall’ultima diagnosi più di 2 anni fa e l’indicazione di assumere farmaci è rimasto tutto in sospeso: un po’ per la scelta di non procedere con la cura farmacologica. un po’ per la mancanza di informazioni riguardo una strada alternativa. 🤔

Ci siamo conosciuti sui social, le abbiamo chiesto se volesse condividere la sua esperienza e lei ha accettato. È venuta a trovarci, ha lasciato la sua testimonianza, ha parlato con il nostro dottore e adesso comincerà un nuovo percorso per curare questa patologia. 🥼

E tutto questo con il nostro supporto. 😊

Se anche tu soffri di osteoporosi ma non sai da dove cominciare, segui la pagina e contattaci 💙","Ecco cosa ci ha raccontato Mascia la prima volta che ci siamo incontrati.

Mascia non ci conosceva ma da tempo era alla ricerca di una soluzione alternativa per trattare la sua osteoporosi. 🦴

Dall’ultima diagnosi più di 2 anni fa e l’indicazione di assumere farmaci è rimasto tutto in sospeso: un po’ per la scelta di non procedere con la cura farmacologica. un po’ per la mancanza di informazioni riguardo una strada alternativa. 🤔

Ci siamo conosciuti sui social, le abbiamo chiesto se volesse condividere la sua esperienza e lei ha accettato. È venuta a trovarci, ha lasciato la sua testimonianza, ha parlato con il nostro dottore e adesso comincerà un nuovo percorso per curare questa patologia. 🥼

E tutto questo con il nostro supporto. 😊

Se anche tu soffri di osteoporosi ma non sai da dove cominciare, segui la pagina e contattaci 💙",180,"10/23/2025 02:59",N/A,https://www.facebook.com/reel/1369414991209109/,0,0,Videos,,,,,Lifetime,23469,21998,165,158,3,4,182,,182,23438,0,21998,0,9706,1873,9706,1850,0,9706,422874.952,19.308,0,0,1
1396787595781322,100063502856757,NEOGELA,"Non c’è accoppiata migliore per la salute delle tue ossa 😉
Scopri la promo attiva online fino al 28 ottobre (link in bio 🔥)","Non c’è accoppiata migliore per la salute delle tue ossa 😉
Scopri la promo attiva online fino al 28 ottobre (link in bio 🔥)",7,"10/22/2025 02:59",N/A,https://www.facebook.com/reel/819641603802335/,0,0,Videos,,,,,Lifetime,1077,690,7,5,0,2,10,,10,1077,0,690,0,293,0,292,0,0,293,4004.213,5.647,0,0,0
1394880432638705,100063502856757,NEOGELA,"Oggi celebriamo la Giornata Mondiale dell’Osteoporosi 🩺

Si stima che nel mondo oltre 200 milioni di persone soffrano di questa patologia, senza contare i casi mai diagnosticati. 
C’è ancora troppa poca informazione sull’osteoporosi e troppa confusione in chi si ritrova ad affrontarla. 🦴

Il nostro medico referente, il Dott. Daniele Zeggio, e la nostra titolare Giulia illustrano i motivi che in oltre 15 anni ci hanno spinto a non arrenderci, prendendo a cuore questo tema e aiutando quante più persone possibile a diventare più consapevoli e migliorare la loro salute. 💪

Per noi, diffondere il sapere e condividere strumenti per il benessere è un dovere morale. 🥼

Grazie a chi ci ha dato e continua ogni giorno a darci fiducia 💙","Oggi celebriamo la Giornata Mondiale dell’Osteoporosi 🩺

Si stima che nel mondo oltre 200 milioni di persone soffrano di questa patologia, senza contare i casi mai diagnosticati. 
C’è ancora troppa poca informazione sull’osteoporosi e troppa confusione in chi si ritrova ad affrontarla. 🦴

Il nostro medico referente, il Dott. Daniele Zeggio, e la nostra titolare Giulia illustrano i motivi che in oltre 15 anni ci hanno spinto a non arrenderci, prendendo a cuore questo tema e aiutando quante più persone possibile a diventare più consapevoli e migliorare la loro salute. 💪

Per noi, diffondere il sapere e condividere strumenti per il benessere è un dovere morale. 🥼

Grazie a chi ci ha dato e continua ogni giorno a darci fiducia 💙",150,"10/20/2025 02:59",N/A,https://www.facebook.com/reel/1483668926293070/,0,0,Videos,,,,,Lifetime,3299,3045,30,27,0,3,26,,26,3296,0,3045,0,1194,207,1169,207,0,1194,42376.149,13.848,0,0,0
1392060572920691,100063502856757,NEOGELA,"Posso curare l’osteoporosi senza farmaci? La risposta non è uguale per tutti 🤔

Un percorso naturale fatto di alimentazione curata, attività fisica e integrazione può fare molto per chi è in osteopenia o in fase iniziale di osteoporosi. Grazie ad un approccio a 360°, è possibile frenare il decorso della patologia. 🦴

Nei casi di osteoporosi avanzata e fratture già avvenute, l’esclusione del farmaco può essere un rischio. 💊

La domanda che ci si dovrebbe porre è: qual è la terapia più adatta me? 👨‍⚕️

Parlane con il tuo medico, chiedi informazioni e documentati sulle alternative disponibili e l’importanza dello stile di vita 🌱","Posso curare l’osteoporosi senza farmaci? La risposta non è uguale per tutti 🤔

Un percorso naturale fatto di alimentazione curata, attività fisica e integrazione può fare molto per chi è in osteopenia o in fase iniziale di osteoporosi. Grazie ad un approccio a 360°, è possibile frenare il decorso della patologia. 🦴

Nei casi di osteoporosi avanzata e fratture già avvenute, l’esclusione del farmaco può essere un rischio. 💊

La domanda che ci si dovrebbe porre è: qual è la terapia più adatta me? 👨‍⚕️

Parlane con il tuo medico, chiedi informazioni e documentati sulle alternative disponibili e l’importanza dello stile di vita 🌱",94,"10/17/2025 02:59",N/A,https://www.facebook.com/reel/668778215953953/,0,0,Videos,,,,,Lifetime,13736,12856,198,175,6,17,332,,332,13724,0,12856,0,5529,1514,5529,1514,0,5529,208444.661,16.391,0,0,0
1391106533016095,100063502856757,NEOGELA,"L’osteoporosi può farci sentire fragili, nel corpo ma anche nella testa. 😞

L’insicurezza, la disinformazione, il non sapere da dove cominciare. 
È quando si cambia approccio che si comincia davvero ad affrontarla. 

Con la giusta consapevolezza e strategia non solo l’osteoporosi si può contrastare, è possibile migliorare la propria quotidianità.💪

Seguici e scopri da dove partire: non sei sola 💙","L’osteoporosi può farci sentire fragili, nel corpo ma anche nella testa. 😞

L’insicurezza, la disinformazione, il non sapere da dove cominciare. 
È quando si cambia approccio che si comincia davvero ad affrontarla. 

Con la giusta consapevolezza e strategia non solo l’osteoporosi si può contrastare, è possibile migliorare la propria quotidianità.💪

Seguici e scopri da dove partire: non sei sola 💙",65,"10/16/2025 02:59",N/A,https://www.facebook.com/reel/1348949023534295/,0,0,Videos,,,,,Lifetime,3558,3187,28,23,4,1,67,,67,3553,0,3187,0,1389,360,1378,360,0,1389,40932.027,13.073,0,0,0
1389149299878485,100063502856757,NEOGELA,"Come fa il collagene una volta ingerito ad arrivare alle ossa? 🤔

Il collagene assunto in forma idrolizzata, ossia scisso in frammenti più piccoli, viene digerito in modo efficace dal nostro organismo: passa il tratta gastrico fino ad arrivare all’intestino dove viene spezzettato nei suoi componenti, gli amminoacidi. 🧬

Questi amminoacidi possono poi entrare in circolo ed essere trasportati direttamente alle cellule ossee che li utilizzeranno per ricostruire le catene di collagene e riparare i tessuti. 💪

La cosa importante? È scegliere il giusto collagene. 
Scorri e scopri l’offerta speciale per il mese dell’Osteoporosi e prova il kit di integrazione completa per le ossa 💙",,0,"10/14/2025 02:59",N/A,https://www.facebook.com/neogela/posts/pfbid02be2qg5UznzN9dyLiccKrpjrcM5tFgLfNYeD79uRfRp53pYqvMdA8KmVsZapF8RTLl,0,0,Photos,,,,,Lifetime,1603,1008,1,1,0,0,4,2,2,1603,0,1008,0,0,0,0,0,0,0,,,,,
1388167759976639,100063502856757,NEOGELA,"Ecco 3 abitudini che dovresti adottare se soffri di osteoporosi (o non vuoi soffrirne in futuro!) e vuoi proteggere le tue ossa: 🦴

1. Fai attività fisica regolare di tipo aerobico e/o con pesi: l’attività fisica eseguita contro gravità stimola l’aumento di massa ossea;🤸
2. Esponiti al sole (con le dovute protezioni) per stimolare la produzione di vitamina D e favorire l’assorbimento del calcio ☀️
3. Scegli una dieta varia che comprenda tutti i nutrienti: il calcio non basta, ti servono proteine, vitamine e una buona dose di collagene 😉

E tu? Segui già questi consigli? Scrivilo nei commenti 🗨️","Ecco 3 abitudini che dovresti adottare se soffri di osteoporosi (o non vuoi soffrirne in futuro!) e vuoi proteggere le tue ossa: 🦴

1. Fai attività fisica regolare di tipo aerobico e/o con pesi: l’attività fisica eseguita contro gravità stimola l’aumento di massa ossea;🤸
2. Esponiti al sole (con le dovute protezioni) per stimolare la produzione di vitamina D e favorire l’assorbimento del calcio ☀️
3. Scegli una dieta varia che comprenda tutti i nutrienti: il calcio non basta, ti servono proteine, vitamine e una buona dose di collagene 😉

E tu? Segui già questi consigli? Scrivilo nei commenti 🗨️",71,"10/13/2025 02:59",N/A,https://www.facebook.com/reel/3278653808952208/,0,0,Videos,,,,,Lifetime,9397,8777,108,92,8,8,43,,43,9404,0,8777,0,2642,965,2634,959,0,2642,110979.664,12.779,0,0,0
1384090610384354,100063502856757,NEOGELA,"Questa è la prima recensione del nostro percorso Area Test Osteoporosi da poco concluso 😊

Marisa, insieme ad altri 9 partecipanti, ha seguito un percorso completo tra integrazione, consigli alimentari e indicazioni sull’attività fisica per 6 mesi. 😱

Il 27 settembre ci siamo rincontrati per ripetere il BES Test, l’esame che valuta l’osso dal punto di vista della qualità elastica, e vedere i risultati 👀

Ecco cosa ha ottenuto Marisa e come si è trovata in questo percorso 💙","Questa è la prima recensione del nostro percorso Area Test Osteoporosi da poco concluso 😊

Marisa, insieme ad altri 9 partecipanti, ha seguito un percorso completo tra integrazione, consigli alimentari e indicazioni sull’attività fisica per 6 mesi. 😱

Il 27 settembre ci siamo rincontrati per ripetere il BES Test, l’esame che valuta l’osso dal punto di vista della qualità elastica, e vedere i risultati 👀

Ecco cosa ha ottenuto Marisa e come si è trovata in questo percorso 💙",120,"10/09/2025 02:59",N/A,https://www.facebook.com/reel/1456332582112911/,0,0,Videos,,,,,Lifetime,2649,2441,18,15,2,1,15,,15,2647,0,2441,0,1534,214,1534,210,0,1534,48641.687,20.326,0,0,0
1383084937151588,100063502856757,NEOGELA,"Sai di cosa si compongono le tue ossa? 🧐
Non tutti sanno che le ossa sono composte da due parti: l’osso trabecolare (la parte interna) e l’osso corticale (la parte esterna). 

Queste due parti si distinguono per la loro struttura e composizione. 
➡️ L’osso trabecolare è formato da fibre proteiche, per lo più collagene, disposte a “nido d’ape”, ossia in una struttura alveolare. 
➡️ L’osso corticale si compone invece di materia minerali, tra cui gli elementi più presenti sono calcio e fosforo. 

Conoscere la composizione delle tue ossa può aiutarti a capire cosa integrare 👉 scorri e scopri il kit di integrazione completa per le tue ossa da oggi di nuovo online in offerta speciale per il mese dell’Osteoporosi 🩺",,0,"10/08/2025 02:59",N/A,https://www.facebook.com/neogela/posts/pfbid02hHmi33oYzafc7zGKsHqF11DpGyE9n5VHJDDU4GBBYDc9XvdoG7YQTPoh8nGR16mrl,0,0,Photos,,,,,Lifetime,2021,1229,2,1,0,1,5,4,1,2021,0,1229,0,0,0,0,0,0,0,,,,,
1381020040691411,100063502856757,NEOGELA,"Hai idea di quante strategie alimentari possono aiutarti concretamente a combattere l’osteoporosi ogni giorno? 🧐
È per questo che la figura del nutrizionista può fare la differenza in un percorso di trattamento completo aiutandoti a scegliere i giusti alimenti e non solo!🥗

La Dottoressa Silvana Magi, Biologa nutrizionista, ci svela tutti i comportamenti che una figura specializzata può aiutarti ad affinare. 🥼

E tu? Segui un piano alimentare ben costruito? ☺️

Se non sai da dove partire, seguici 💙 
Parliamo di come migliorare la salute ossea naturalmente, giorno dopo giorno.","Hai idea di quante strategie alimentari possono aiutarti concretamente a combattere l’osteoporosi ogni giorno? 🧐
È per questo che la figura del nutrizionista può fare la differenza in un percorso di trattamento completo aiutandoti a scegliere i giusti alimenti e non solo!🥗

La Dottoressa Silvana Magi, Biologa nutrizionista, ci svela tutti i comportamenti che una figura specializzata può aiutarti ad affinare. 🥼

E tu? Segui un piano alimentare ben costruito? ☺️

Se non sai da dove partire, seguici 💙 
Parliamo di come migliorare la salute ossea naturalmente, giorno dopo giorno.",99,"10/06/2025 02:59",N/A,https://www.facebook.com/reel/1205617758053028/,0,0,Videos,,,,,Lifetime,3250,2678,56,46,6,4,15,,15,3260,0,2678,0,1593,470,1480,451,0,1593,61911.361,21.363,0,0,0
