"Inizio dei report","Fine dei report","Nome della campagna","Pubblicazione della campagna",Risultati,"Indicatore di risultato","Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Impression,Copertura,Frequenza,"CPM (costo per 1000 impression) (EUR)",Acquisti,Fine,"Impostazione di attribuzione","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS risultati","Indicatore di valore del risultato","Valore risultati",Visualizzazioni,"CTR (tutti)","Conversioni degli acquisti","Costo per acquisto (EUR)","Aggiunte al carrello","Acquisti promossi dallo shop","Acquisti diretti sul sito web"
2023-04-21,2026-05-21,"MOFU | warm | Acquisto | Retargeting | 10.07.23",completed,,,,"Uso del budget del gruppo di inserzioni",0,79.77,16428,10343,1.588321,4.855734,,2023-07-17,"7 giorni dal clic",,,,,0,3.153153,,,5,0,0
2023-04-21,2026-05-21,"Pubblico freddo Agonismo | Visualizzazione di contenuti | 11.09.23",inactive,609,actions:offsite_conversion.fb_pixel_view_content,0.43679803,"Uso del budget del gruppo di inserzioni",0,266.01,105665,49854,2.119489,2.517485,4,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",3.049509,146.78598549,action_values:offsite_conversion.fb_pixel_view_content,39046.54,0,6.801685,811.2,66.5025,59,0,4
2023-04-21,2026-05-21,"WOD 2023 - Broad 4 leve - Visualizzazione di contenuto",inactive,1247,actions:offsite_conversion.fb_pixel_view_content,0.35061748,"Uso del budget del gruppo di inserzioni",0,437.22,158383,59030,2.683093,2.760524,12,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",3.306093,229.56438406,action_values:offsite_conversion.fb_pixel_view_content,100370.14,0,12.661712,1445.49,36.435,79,0,12
2023-04-21,2026-05-21,"WOD 2023 - Broad - Branding copertura",completed,54283,reach,0.2930936,"Uso del budget del gruppo di inserzioni",0,15.91,54283,54283,1,0.293094,,2023-10-20,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0.414494,,,,0,0
2023-04-21,2026-05-21,LAND_08_01_35+,inactive,31,actions:offsite_conversion.fb_pixel_purchase,47.16290323,30,Giornaliero,1462.05,397376,200381,1.983102,3.679261,31,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",1.461571,1.46157108,action_values:offsite_conversion.fb_pixel_purchase,2136.89,0,4.92682,2136.89,47.162903,230,0,31
2023-04-21,2026-05-21,"Retargeting 2024",inactive,20,actions:purchase,8.1075,6,Giornaliero,162.15,46471,29092,1.597381,3.489273,20,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",14.090533,14.09053346,action_values:purchase,2284.78,0,1.538594,2284.78,8.1075,,0,20
2023-04-21,2026-05-21,"Interazione post_01.03 | Video differenza collagene",completed,111657,actions:post_engagement,0.00109093,"Uso del budget del gruppo di inserzioni",0,121.81,185448,144477,1.283581,0.656842,,2024-03-31,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,1.524417,,,,0,0
2023-04-21,2026-05-21,"Branding - video giornata MOC - Thruplay",completed,23916,video_thruplay_watched_actions,0.00300928,"Uso del budget del gruppo di inserzioni",0,71.97,24701,9382,2.632808,2.913647,,2024-04-30,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0.121453,,,,0,0
2023-04-21,2026-05-21,"C1 Vendite ABO 1-8-(5*/4*) (15-04-2024)",inactive,96,actions:offsite_conversion.fb_pixel_purchase,12.60208333,"Uso del budget del gruppo di inserzioni",0,1209.8,203413,39977,5.088251,5.947506,96,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",6.858365,6.85836502,action_values:offsite_conversion.fb_pixel_purchase,8297.25,0,6.925811,8297.25,12.602083,574,0,96
2023-04-21,2026-05-21,"Evento: I segreti di un campione di Ultra Trail Running: Roberto Mastrotto si racconta",completed,79,actions:rsvp,0.63291139,50,Totale,50,6967,3603,1.933666,7.17669,,2024-05-30,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,3.301277,,,,0,0
