"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid Type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Results ROAS","Result ROAS indicator","Website purchases conversion value","Website purchase ROAS (return on advertising spend)"
2025-12-01,2025-12-31,"Conversione - Bundle barattolo e bustine",not_delivering,,,,"Using campaign budget",0,6.75,1018,706,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Conversione Neogela Dicembre - Audience Broad",,,,
2025-12-01,2025-12-31,"Conversione - Timeline utilizzo prodotto versione 2",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,11.62,"Using campaign budget",0,11.62,1528,892,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Conversione Neogela Dicembre - Audience Broad",10.58519793,action_values:offsite_conversion.fb_pixel_purchase,123,10.585198
2025-12-01,2025-12-31,"Conversione - Riprova sociale v3 versione 2",not_delivering,,,,"Using campaign budget",0,3.11,365,279,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Conversione Neogela Dicembre - Audience Broad",,,,
2025-12-01,2025-12-31,"Conversione - Timeline utilizzo prodotto",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,7.54666667,"Using campaign budget",0,22.64,4001,2234,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Conversione Neogela Dicembre - Audience Broad",17.65017668,action_values:offsite_conversion.fb_pixel_purchase,399.6,17.650177
2025-12-01,2025-12-31,"Conversione - Neogela integratore",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,21.38,"Using campaign budget",0,85.52,11823,5281,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,Average,Average,"Below average – bottom 35% of ads","Conversione Neogela Dicembre - Audience Broad",5.35570627,action_values:offsite_conversion.fb_pixel_purchase,458.02,5.355706
2025-12-01,2025-12-31,"Conversione - barattolo 400g",not_delivering,,,,"Using campaign budget",0,30.13,4066,2253,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Conversione Neogela Dicembre - Audience Broad",,,,
2025-12-01,2025-12-31,"Conversione - Pack ossa sane",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,13.63666667,"Using campaign budget",0,40.91,6542,3099,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Conversione Neogela Dicembre - Audience Broad",6.11121975,action_values:offsite_conversion.fb_pixel_purchase,250.01,6.11122
2025-12-01,2025-12-31,"Conversione - Riprova sociale v3",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,32.22,"Using campaign budget",0,32.22,5313,2877,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Conversione Neogela Dicembre - Audience Broad",2.02358783,action_values:offsite_conversion.fb_pixel_purchase,65.2,2.023588
2025-12-01,2025-12-31,"Conversione - Riprova sociale v1",not_delivering,,,,"Using campaign budget",0,3.65,513,365,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Conversione Neogela Dicembre - Audience Broad",,,,
2025-12-01,2025-12-31,"Conversione - Riprova sociale v2",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,13.21,"Using campaign budget",0,13.21,1783,1164,2025-12-31,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,0,-,-,-,"Conversione Neogela Dicembre - Audience Broad",4.93565481,action_values:offsite_conversion.fb_pixel_purchase,65.2,4.935655
