Asset association report
"May 11, 2026 - June 11, 2026"
Asset status,Asset,Asset type,Level,Status,Status reason,Added by,Last updated,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks
Enabled,"Scopri il collagene
Rimedio Naturale
Sicuro ed efficace
https://neogela.com/collagene-di-tipo-1-suino/",Sitelink,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",EUR,0.009,440,50,11.36%,0.66,32.86,47
Enabled,"Scopri il collagene
Rimedio Naturale
Sicuro ed efficace
https://neogela.com/collagene-di-tipo-1-suino/",Sitelink,Account,Eligible,,Advertiser,"Apr 24, 2025, 12:43 PM",EUR,0.009,"26,216","5,557",21.20%,0.05,283.24,"5,554"
Enabled,"Scopri il collagene
Rimedio Naturale
Sicuro ed efficace
https://neogela.com/collagene-di-tipo-1-suino/",Sitelink,Campaign,Eligible,,Advertiser,"Feb 12, 2022, 12:23 AM",EUR,0,"1,147",197,17.18%,0.35,68.60,197
Enabled,https://tpc.googlesyndication.com/simgad/5877963325921450917,Image,Campaign,Eligible,,Advertiser,"Sep 25, 2023, 9:46 PM",EUR,0,280,44,15.71%,0.50,22.02,44
Enabled,"Barattolo 400 gr:€65.20, Formato convenienza:€130.00, 28 buste da 5gr:€29.80",Price,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",EUR,0,376,5,1.33%,0.40,1.98,5
Enabled,https://tpc.googlesyndication.com/simgad/948941203816931066,Horizontal logo,Campaign,Eligible,,Advertiser,"May 16, 2025, 2:18 PM",EUR,0,0,0, --,0,0.00,0
Enabled,"Barattolo 400 gr:€65.20, Formato convenienza:€130.00, 28 buste da 5gr:€29.80",Price,Campaign,Eligible,,Advertiser,"Mar 3, 2023, 10:49 AM",EUR,0,"1,243",209,16.81%,0.31,64.45,209
Enabled,Neogela,Business name,Campaign,Eligible,,Advertiser,"May 31, 2024, 11:59 AM",EUR,0,"40,671","6,593",16.21%,0.04,282.00,"6,593"
Enabled,Neogela,Business name,Campaign,Eligible,,Advertiser,"May 16, 2025, 2:18 PM",EUR,0.025,"39,497","4,111",10.41%,0.04,174.93,"3,338"
Enabled,"Recensioni
Cosa dicono di noi
Risultati incredibili
https://neogela.com/neogela-opinioni-recensioni-testimonianze/",Sitelink,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",EUR,0.009,419,51,12.17%,0.72,36.71,48
