KPI Book - MUVI ,update al 25/03/2026,,,,,,,Timeframe: Q4-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,,,,,,,,,,,,,,,,PRECEDEnTE ,1 genn - 31 mar,1 apr → 30 apr,1 mag → 31 mag,1 giu → 30 giu,1 lug → 31 lug,1 ago → 31 ago,1 set → 30 set,1 ott → 31 ott,1 nov → 30 nov,1 dic → 31 dic,1 gen → 31 gen,1 feb → 28 feb,1 mar → 31 mar,1 apr → 30 apr,1 mag → 31 mag,1 giu → 30 giu,1 lug → 31 lug,1 ago → 31 ago,1 set → 30 set,1 ott → 31 ott,1 nov → 30 nov,1 dic → 31 dic,1 gen → 31 gen,1 feb → 29 feb,1 mar → 31 mar,1 apr → 30 apr,1 mag → 31 mag,1 giu → 30 giu,1 lug → 31 lug,1 ago → 31 ago,1 set → 30 set,1 ott → 31 ott,1 nov → 30 nov,1 dic → 31 dic,1 gen → 31 gen,1 feb → 28 feb,1 mar → 31 mar,1 apr → 30 apr,1 mag → 31 mag,4 gen → 10 gen
,Description,Accountabilty,How and where to get the number,,Timing,Link,"Last Value 
",Trend,Performance,Progress,Minimo,Baseline,Target,Massimo,Unit,,M16-2026,M16-2026,M17-2026,M18-2026,M19-2026,M20-2026,M21-2026,M22-2026,M23-2026,M24-2026,M25-2026,M26-2026,M27-2026,M28-2026,W29-2026,W30-2026,W31-2026,W32-2026,W33-2026,W34-2026,W35-2026,W36-2026,W37-2026,W38-2026,W39-2026,W40-2026,W41-2026,W42-2026,W43-2026,W44-2026,W45-2026,W46-2026,W47-2026,W48-2026,W49-2026,W50-2026,W51-2026,W52-2026,W53-2026,W54-2026
Influencer Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# N. collaborazioni attive ,,,,MUVI,Mensile ,analytics,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,1959,,,,,,,,,,,,,,,,,,,,,,
# Traffico da influencer ,Misura visibilità contenuti non sponsorizzati. Importante per ridurre costo ads e incrementare branding,Nome Cognome,link,MUVI,Mensile ,analytics,,#N/A,"0,00%","-25,00%",0,200,1000,2000,persone,,,,,,,,,,,,,,,,,,,355,,,,,,,,,,,,,,,,,,,,,,
# Traffico da influencer 1,,,,MUVI,Mensile ,analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Traffico da influencer 2,,,,MUVI,Mensile ,analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Traffico da influencer 3,,,,MUVI,Mensile ,analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Traffico da influencer 4,,,,MUVI,Mensile ,analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Promocode utilizzati,Misura visibilità contenuti non sponsorizzati. Importante per ridurre costo ads e incrementare branding,Nome Cognome,link,MUVI,Mensile ,shopify,,#N/A,"0,00","-0,25","0,00","200,00","1.000,00","2.000,00",persone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Valore acquisti promocode,,,,MUVI,Mensile ,shopify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Promocode da influencer 1,,,,MUVI,Mensile ,shopify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Promocode da influencer 2,,,,MUVI,Mensile ,shopify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Promocode da influencer 3,,,,MUVI,Mensile ,shopify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report valutazione influencer,Misura visibilità contenuti non sponsorizzati. Importante per ridurre costo ads e incrementare branding,Nome Cognome,link,MUVI,Trimestrale,report dedicato,,#N/A,"0,00","-0,25","0,00","200,00","1.000,00","2.000,00",persone,,,,,,,,,,,,,,,,,,,"56.225,00",,,,,,,,,,,,,,,,,,,,,,
Sito Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Click totali,Misura visibilità contenuti non sponsorizzati. Importante per ridurre costo ads e incrementare branding,Nome Cognome,link,Giulia,Mensile ,search console,,#N/A,"0,00%","-25,00%",0,200,1000,2000,persone,,,,,,,,,,,,,,,,,,,"2.297,00",,,,,,,,,,,,,,,,,,,,,,
# N. follower (Instagram),Misura visibilità contenuti non sponsorizzati. Importante per ridurre costo ads e incrementare branding,Nome Cognome,link,Giulia,Mensile ,Not just analitics,,#N/A,"0,00%","-25,00%",0,200,1000,2000,persone,,,,,,,,,,,,,,,,,,,3703,,,,,,,,,,,,,,,,,,,,,,
# Zoom Autorithy ,Misura visibilità contenuti non sponsorizzati. Importante per ridurre costo ads e incrementare branding,Nome Cognome,link,Giulia,Mensile ,seozoom,,,"0,00%","-25,00%",0,200,1000,2000,persone,,,,,,,,,,,,,,,,,,,38,38,38,38,38,40,40,41,41,,,,,,,,,,,,,,
# Impression (ads) ,Misura visibilità contenuti non sponsorizzati. Importante per ridurre costo ads e incrementare branding,Nome Cognome,link,Giulia,Mensile ,ads,,,"0,00","-0,25","0,00","200,00","1.000,00","2.000,00",persone,,,,,,,,,,,,,,,,,,,"87.732,00","52.425,00","60.152,00","55.244,00","53.246,00","57.332,00","50.268,00","50.764,00","41.201,00",,,,,,,,,,,,,,
# Impression (ads) ,Misura visibilità contenuti non sponsorizzati. Importante per ridurre costo ads e incrementare branding,Nome Cognome,link,Giulia,Mensile ,meta,,,"0,00%","-25,00%",0,200,1000,2000,persone,,,,,,,,,,,,,,,,,,,"58.347,00","65.491,00","53.008,00","20.974,00","19.031,00","17.457,00","37.381,00","47.334,00","35.763,00",,,,,,,,,,,,,,
# CPM (ads),Misura visibilità contenuti non sponsorizzati. Importante per ridurre costo ads e incrementare branding,Nome Cognome,link,Giulia,Mensile ,ads,,,"0,00%","-25,00%",0,200,1000,2000,persone,,,,,,,,,,,,,,,,,,,"€ 3,74","€ 4,49","€ 6,20","€ 5,38","€ 5,20","€ 4,66","€ 5,71","€ 6,15","€ 6,53",,,,,,,,,,,,,,
# CPM (ads),Misura visibilità contenuti non sponsorizzati. Importante per ridurre costo ads e incrementare branding,Nome Cognome,link,Giulia,Mensile ,meta,,,"0,00%","-25,00%",0,200,1000,2000,persone,,,,,,,,,,,,,,,,,,,"€ 2,95","€ 2,58","€ 2,77","€ 2,32","€ 2,21","€ 2,38","€ 2,33","€ 2,36","€ 2,36",,,,,,,,,,,,,,
Contenuti organici FB,,,,,,,,,,,,,,,,,1 FEBB- 31 MAR,1 APR - 30 APR,1 APR - 31 MAGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# visualizzazioni,,,,MUVI,Mensile ,,,,,,,,,,,,307323,"46.211,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# follower ,,,,MUVI,Mensile ,meta,,,,,,,,,,,1406,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# interazioni ,,,,MUVI,Mensile ,meta,,,,,,,,,,,9689,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# condivisioni,,Nome Cognome,link,MUVI,Mensile ,meta,111,#N/A,"111,00%","405,00%",0,30,50,100,%,,15,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# mi piace,,Nome Cognome,link,MUVI,Mensile ,meta,861,#N/A,"861,00%","4155,00%",0,30,50,100,%,,1329,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# visualizzazioni video,,Nome Cognome,link,MUVI,Mensile ,meta,189012,#N/A,"189012,00%","944910,00%",0,30,50,100,%,,"2,2mln",189012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contenuti organici IG,,,,,,,,,,,,,,,,,1 FEBB- 31 MAR,1 APR - 30 APR,1 APR - 31 MAGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# copertura ,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Mensile ,meta,44516,#N/A,"44516,00%","222430,00%",0,30,50,100,%,,30507,44516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# follower ,,,,MUVI,Mensile ,meta,,,,,,,,,,,1941,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# condivisioni,"Valuta qualità potenziali clienti acquisiti. Cruciale per conversioni efficaci.
(Lead qualificati / Lead totali) * 100",Nome Cognome,link,MUVI,Mensile ,meta,115,#N/A,"115,00%","425,00%",0,30,50,100,%,,262,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
