Asset association report
"May 1, 2026 - June 18, 2026"
Asset status,Asset,Asset type,Level,Status,Status reason,Added by,Last updated,CTR,Currency code,Avg. CPC,Conversions,Conv. value,Impr.,Clicks,Cost
Enabled,"Scopri il collagene
Rimedio Naturale
Sicuro ed efficace
https://neogela.com/collagene-di-tipo-1-suino/",Sitelink,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",8.87%,EUR,0.78,2.00,272.30,812,72,56.40
Enabled,Contattaci,Callout,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",4.31%,EUR,0.57,0.00,0.00,255,11,6.30
Enabled,"Chi siamo
Conosci il Team Neogela
Contattaci
https://neogela.com/chi-siamo/",Sitelink,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",8.74%,EUR,0.98,0.67,43.47,618,54,52.71
Enabled,https://tpc.googlesyndication.com/simgad/8180574590460782094,Business logo,Account,Eligible,,Advertiser,"May 31, 2024, 8:45 AM", --,EUR,0,0.00,0.00,0,0,0.00
Enabled,Consulenza medica,Callout,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",4.66%,EUR,0.68,0.00,0.00,579,27,18.47
Enabled,0444 894878,Call,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",7.32%,EUR,1.58,0.00,0.00,41,3,4.73
Enabled,"Perché Neogela
Professionisti del collagene
Prenota una consuelnza
https://neogela.com/prenota-una-consulenza/",Sitelink,Account,Eligible,,Advertiser,"Apr 16, 2026, 12:57 PM",9.87%,EUR,0.86,2.33,294.04,841,83,71.17
Enabled,"Barattolo 400 gr:€65.20, Formato convenienza:€130.00, 28 buste da 5gr:€29.80",Price,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",1.36%,EUR,0.48,0.00,0.00,737,10,4.78
Enabled,Neogela,Business name,Campaign,Eligible,,Advertiser,"May 16, 2025, 2:18 PM",8.28%,EUR,0.06,6.84,593.52,"53,864","4,460",265.61
Enabled,https://tpc.googlesyndication.com/simgad/18422173398530956508,Logo,Campaign,Eligible,,Advertiser,"May 16, 2025, 2:18 PM",7.44%,EUR,0.03,3.51,234.29,"40,051","2,978",101.57
Enabled,Spedizione Gratuita,Callout,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",4.64%,EUR,0.75,0.33,21.73,604,28,21.01
Enabled,"Recensioni
Cosa dicono di noi
Risultati incredibili
https://neogela.com/neogela-opinioni-recensioni-testimonianze/",Sitelink,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",10.16%,EUR,0.87,2.33,294.04,758,77,66.72
Enabled,https://tpc.googlesyndication.com/simgad/948941203816931066,Horizontal logo,Campaign,Eligible,,Advertiser,"May 16, 2025, 2:18 PM", --,EUR,0,0.00,0.00,0,0,0.00
Enabled,https://tpc.googlesyndication.com/simgad/13766625430176898406,Logo,Campaign,Eligible,,Google AI,"Nov 20, 2024, 4:23 AM",6.63%,EUR,0.67,3.33,359.24,"3,245",215,143.91
Paused,"Il nostro Blog
Cosa fare per le tue ossa?
I suggerimenti del Blog di Neogela
https://neogela.com/blog/",Sitelink,Account,Paused,Paused,Advertiser,"Jun 11, 2026, 5:31 PM",3.27%,EUR,1.00,0.00,0.00,153,5,4.99
Enabled,"Shop Online
Spedizioni in 24/48H
Collagene tipo 1
https://neogela.com/neogela-shop/",Sitelink,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",10.20%,EUR,0.88,2.33,294.04,490,50,44.06
Enabled,"Servizi:consulenza prdotto,valutazione MOC,guida scelta integratori,consulenza personalizzata",Structured snippet,Account,Eligible,,Advertiser, --,3.75%,EUR,0.48,0.00,0.00,160,6,2.91
Enabled,"Consulenza inclusa
Contattaci
Team esperto in Osteoporosi
https://neogela.com/contatti/",Sitelink,Account,Eligible,,Advertiser,"Apr 24, 2025, 12:43 PM",2.47%,EUR,0.79,0.00,0.00,324,8,6.30
Enabled,Resi e rimborsi,Callout,Campaign,Eligible,,Advertiser,"Apr 27, 2023, 9:33 AM",5.05%,EUR,0.67,1.33,190.30,713,36,24.16
