Asset performance report
"May 1, 2026 - June 18, 2026"
Asset,Asset type,Used by,Added by,Impr.,Clicks,Currency code,Cost,Conversions,Conv. value
"Neogela in polvere è il collagene con sapore neutro, perfetto per ogni bevanda",Long headline,1,Advertiser,"2,114",226,EUR,4.13,0.00,0.00
https://www.youtube.com/watch?v=6SHxJlrWFEs,Vertical YouTube video,3,Advertiser,99,3,EUR,0.17,0.00,0.00
Migliora Il Benessere Delle Tue Ossa Con Neogela Collagene,Description,1,Advertiser,699,23,EUR,3.71,0.00,0.00
Ritrova il benessere in Modo Naturale con Neogela,Long headline,1,Advertiser,10,0,EUR,0.02,0.00,0.00
https://tpc.googlesyndication.com/simgad/13490021204653009713,Horizontal image,1,Advertiser,56,6,EUR,0.20,0.00,0.00
Ossa & Articolazioni,Headline,1,Advertiser,954,28,EUR,9.40,0.00,0.00
Miglior Collagene in Polvere,Headline,1,Advertiser,231,15,EUR,2.90,0.00,0.00
Collagene per donne +45 anni,Headline,1,Advertiser,494,28,EUR,19.99,0.00,0.00
Ritrovare il benessere delle ossa È Possibile Con la Giusta Soluzione. Scopri Quale,Long headline,1,Advertiser,746,11,EUR,1.20,0.00,0.00
Abbandona La Paura per le tue ossa: Recupera L’Elasticità Ossea Con Il Collagene Neogela,Description,1,Advertiser,"1,422",17,EUR,3.80,0.00,0.00
Scopri Neogela Collagene Naturale,Description,1,Advertiser,108,8,EUR,4.24,0.00,0.00
https://tpc.googlesyndication.com/simgad/18424792772730918348,Square image,1,Advertiser,31,2,EUR,0.08,0.00,0.00
Scegli Neogela Collagene in polvere,Long headline,1,Advertiser,15,0,EUR,0.02,0.00,0.00
’Elasticità Ossea Con Il Collagene Neogela,Long headline,1,Advertiser,12,1,EUR,0.03,0.00,0.00
Recupera La Densità: Scopri Neogela Collagene Naturale,Long headline,1,Advertiser,"1,708",30,EUR,2.52,0.00,0.00
Spedizione gratis sopra € 63,Headline,1,Advertiser,234,4,EUR,0.40,0.00,0.00
Collagene Puro,Headline,1,Advertiser,859,38,EUR,26.85,1.00,65.20
Recupera L’Elasticità Ossea Con Il Collagene Neogela,Long headline,1,Advertiser,495,18,EUR,0.81,0.00,0.00
Non Temere Più La Prossima Visita: Scegli Neogela Collagene E Migliora Il Tuo T-Score,Long headline,1,Advertiser,449,9,EUR,0.68,0.00,0.00
Miglior Collagene Per Ossa,Headline,1,Advertiser,"2,519",113,EUR,47.91,0.00,0.03
Neogela per il tuo benessere,Headline,1,Advertiser,8,0,EUR,0.01,0.00,0.00
"Sapore neutro, adatto a ogni bevanda: crea la tua routine con Neogela collagene",Long headline,1,Advertiser,71,1,EUR,0.12,0.00,0.00
Provato da migliaia di clienti,Headline,1,Advertiser,63,2,EUR,3.14,0.00,0.00
Alla Ricerca Di Miglioramenti?,Headline,2,Advertiser,366,5,EUR,1.96,0.00,0.00
https://tpc.googlesyndication.com/simgad/4373293933819278831,Horizontal image,1,Advertiser,25,2,EUR,1.66,0.00,0.00
https://tpc.googlesyndication.com/simgad/10740324137473682414,Vertical image,1,Advertiser,35,2,EUR,0.10,0.00,0.00
https://tpc.googlesyndication.com/simgad/6879925150334642640,Square image,1,Advertiser,178,12,EUR,7.37,0.00,0.00
Non Tolleri I Farmaci? Scopri Come Recuperare La Densità Ossea In Modo Naturale,Description,1,Advertiser,671,49,EUR,9.55,0.00,0.00
Neogela collagene in polvere,Headline,1,Advertiser,150,11,EUR,0.97,0.00,0.00
Scopri la selezione di Collagene Neogela in polvere,Description,1,Advertiser,155,12,EUR,0.46,0.00,0.00
Azienda italiana,Headline,1,Advertiser,267,9,EUR,7.05,0.00,0.00
L’Alternativa Ai Bifosfonati,Headline,1,Advertiser,"26,855","1,827",EUR,120.05,3.51,234.26
La fiducia di +1000 clienti,Headline,1,Advertiser,678,13,EUR,1.30,0.00,0.00
https://www.youtube.com/watch?v=bcyvhGn_moM,Vertical YouTube video,3,Advertiser,"4,285",102,EUR,6.86,0.00,0.00
Leggi Le Recensioni Di 100 Utenti Che Sono Migliorati,Long headline,1,Advertiser,21,1,EUR,0.04,0.00,0.00
Stop Alla Fragilità Ossea,Headline,1,Advertiser,310,8,EUR,3.55,0.00,0.00
https://tpc.googlesyndication.com/simgad/6295185215728260224,Square image,1,Advertiser,58,4,EUR,2.92,0.00,0.00
https://tpc.googlesyndication.com/simgad/6607754371025879463,Square image,1,Advertiser,123,4,EUR,1.05,0.00,0.00
Scelto da migliaia di clienti,Headline,2,Advertiser,434,5,EUR,2.89,0.00,0.00
Il Tuo Alleato di Benessere,Headline,1,Advertiser,88,6,EUR,2.78,0.00,0.00
https://tpc.googlesyndication.com/simgad/12033071575361111796,Horizontal image,1,Advertiser,29,3,EUR,0.11,0.00,0.00
Benessere per le tue ossa,Headline,1,Advertiser,340,20,EUR,0.27,0.00,0.00
https://www.youtube.com/watch?v=JVoR1AXHoZE,Horizontal YouTube video,2,Advertiser,"9,028","1,080",EUR,16.54,0.00,0.00
Migliora La Salute Delle Tue Ossa Con Neogela Collagene,Description,1,Advertiser,"8,069",949,EUR,43.21,1.67,212.04
https://tpc.googlesyndication.com/simgad/9535715398565443360,Square image,1,Advertiser,79,4,EUR,2.04,0.00,0.00
Gusto Neutro Solubilità Ottima,Headline,1,Advertiser,86,2,EUR,0.14,0.00,0.00
Collagene Puro Idrolizzato,Headline,2,Advertiser,786,29,EUR,20.54,0.00,0.00
Migliora il benessere Con Neogela Collagene in Polvere,Description,1,Advertiser,"1,870",186,EUR,6.73,0.00,0.00
https://tpc.googlesyndication.com/simgad/10021005276377816631,Square image,1,Advertiser,29,3,EUR,0.58,0.00,0.00
Fai Ciò Che Ami Più Lungo Grazie All’Efficacia Del Collagene Neogela: Sicuro E Certificato,Long headline,1,Advertiser,60,1,EUR,0.08,0.00,0.00
https://tpc.googlesyndication.com/simgad/2287809561977407078,Square image,1,Advertiser,78,6,EUR,3.14,0.00,0.00
Torna a fare movimento in serenità con Neogela collagene,Description,1,Advertiser,364,31,EUR,2.99,0.00,0.00
Scegli il benessere In Modo Naturale con collagene Neogela,Description,1,Advertiser,217,11,EUR,4.73,0.00,0.00
Collagene da bere,Headline,1,Advertiser,493,26,EUR,19.25,0.00,0.00
Acquisto Sicuro E Reso Gratis,Headline,2,Advertiser,524,7,EUR,3.68,0.00,0.00
https://tpc.googlesyndication.com/simgad/8253747955279005905,Square image,1,Advertiser,"1,806",71,EUR,10.80,0.00,0.00
In Neogela Trovi Un Team Esperto Pronto A Supportarti: Richiedi La Tua Consulenza Gratuita,Long headline,1,Advertiser,"1,448",161,EUR,2.41,0.00,0.00
https://www.youtube.com/watch?v=GdV32ki2qTk,Vertical YouTube video,1,Advertiser,98,1,EUR,0.13,0.00,0.00
https://tpc.googlesyndication.com/simgad/12504220769270307137,Horizontal image,1,Advertiser,"9,485",815,EUR,30.46,2.00,130.37
https://tpc.googlesyndication.com/simgad/4541369930803043219,Square image,1,Advertiser,159,6,EUR,0.45,0.00,0.00
https://tpc.googlesyndication.com/simgad/17221773843611966529,Horizontal image,1,Advertiser,"1,194",98,EUR,7.49,0.00,0.00
"Sicuro, Certificato, Naturale",Headline,1,Advertiser,122,1,EUR,0.95,0.00,0.00
https://www.youtube.com/watch?v=IUSMiHIj430,Horizontal YouTube video,1,Advertiser,"1,387",161,EUR,2.34,0.00,0.00
Consulenza prodotto Gratuita,Headline,1,Advertiser,96,2,EUR,0.12,0.00,0.00
https://tpc.googlesyndication.com/simgad/5678559813652179400,Square image,1,Advertiser,"13,055",639,EUR,43.69,1.51,103.89
Scopri Come Recuperare La Densità Ossea In Modo Naturale,Long headline,1,Advertiser,233,6,EUR,0.29,0.00,0.00
Vuoi Migliorare T-Score?,Headline,2,Advertiser,770,20,EUR,4.10,0.00,0.00
Limitare Naturalmente L’Osteoporosi È Possibile Con La Giusta Soluzione. Scopri Quale,Description,1,Advertiser,"1,564",46,EUR,9.03,0.00,0.00
Spedizione Gratuita Sopra €63 E Reso Sempre Garantito: Acquista Ora Online,Long headline,1,Advertiser,90,0,EUR,0.12,0.00,0.00
"Scopri Neogela, il collagene in polvere",Description,1,Advertiser,18,1,EUR,0.31,0.00,0.00
Scegli il miglioro collagene,Headline,1,Advertiser,26,0,EUR,0.01,0.00,0.00
Recupera La Densità Ossea Senza Effetti Collaterali: Scopri Neogela Collagene Vero,Description,2,Advertiser,933,37,EUR,7.22,0.00,0.00
Abbandona La Paura Di Fratturarti: Recupera L’Elasticità Ossea Con Il Collagene Neogela,Description,1,Advertiser,"2,991",275,EUR,90.19,3.33,359.24
https://tpc.googlesyndication.com/simgad/14199979406576672280,Vertical image,1,Advertiser,241,8,EUR,0.68,0.00,0.00
Scopri Come Recuperare La Densità Ossea In Modo Naturale,Description,1,Advertiser,460,14,EUR,6.92,0.00,0.00
Alternativa Ai Bifosfonati,Headline,2,Advertiser,"4,817",510,EUR,21.42,0.00,0.00
Osteoporosi: Il Vero Rimedio,Headline,1,Advertiser,"6,031",650,EUR,41.93,1.00,65.20
"L’Unico Collagene Puro, Di Tipo 1, in polvere",Long headline,1,Advertiser,99,4,EUR,0.21,0.00,0.00
