Landing pages
"May 1, 2026 - June 18, 2026"
Landing page,Campaign,Mobile-friendly click rate,Valid AMP click rate,Mobile speed score,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
https://neogela.com/blog/cura-osteoporosi-senza-bifosfonati/,IT | Search | Traffico | Cold, --, --,5,"8,662","57,899",14.96%,EUR,0.04,373.79
https://negozio.neogela.com/products/neogela-barattolo-400-gr-collagene-vero,IT | Pmax | Conv | Hot&Cold, --, --,9,"3,110","43,640",7.13%,EUR,0.06,187.34
https://negozio.neogela.com/,IT | Search | Conv | Brand, --, --, --,"2,100","13,073",16.06%,EUR,0.42,877.68
https://negozio.neogela.com/products/neogela-barattolo-400-gr-collagene-vero?variant=47801330860375&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,"1,427","176,378",0.81%,EUR,0.40,577.35
https://neogela.com/collagene-di-tipo-1-suino/,IT | Search | Traffico | Cold, --, --, --,396,"34,328",1.15%,EUR,0.03,11.05
https://neogela.com/prenota-una-consulenza/,IT | Search | Traffico | Cold, --, --, --,218,"28,989",0.75%,EUR,0.07,14.57
https://neogela.com/prenota-una-consulenza/,IT | Search | Conv | Brand, --, --, --,130,"5,634",2.31%,EUR,0.29,37.87
https://neogela.com/neogela-opinioni-recensioni-testimonianze/,IT | Search | Traffico | Cold, --, --, --,118,"17,704",0.67%,EUR,0.27,31.68
https://neogela.com/neogela-opinioni-recensioni-testimonianze/,IT | Search | Conv | Brand, --, --, --,93,"4,600",2.02%,EUR,0.26,23.83
https://neogela.com/neogela-shop/,IT | Search | Conv | Brand, --, --, --,48,"4,031",1.19%,EUR,0.31,15.06
https://negozio.neogela.com/products/neogela-scatola-28-buste-5-gr-collagene-vero?variant=47358329127255&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,43,"4,731",0.91%,EUR,0.29,12.41
https://negozio.neogela.com/,IT | Pmax | Conv | Hot&Cold, --, --, --,31,367,8.45%,EUR,0.85,26.40
https://negozio.neogela.com/products/lynup-multivitaminico,IT | Pmax | Conv | Hot&Cold, --, --, --,19,177,10.73%,EUR,0.56,10.60
https://negozio.neogela.com/,IT | Search | Traffico | Cold, --, --, --,16,"1,035",1.55%,EUR,0.05,0.88
https://neogela.com/contatti/,IT | Search | Traffico | Cold, --, --, --,14,"15,041",0.09%,EUR,0.02,0.21
https://neogela.com/chi-siamo/,IT | Search | Conv | Brand, --, --, --,12,"2,467",0.49%,EUR,0.35,4.16
https://negozio.neogela.com/products/neogela-barattolo-400g-scatola-28-buste-5g?variant=47267067560279&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,12,"2,157",0.56%,EUR,0.48,5.75
https://neogela.com/neogela-opinioni-recensioni-testimonianze/,IT | Pmax | Conv | Hot&Cold, --, --, --,9,747,1.20%,EUR,0.59,5.28
https://negozio.neogela.com/products/pack-ossa-sane-neogela-lynup,IT | Pmax | Conv | Hot&Cold, --, --, --,9,74,12.16%,EUR,0.86,7.74
https://negozio.neogela.com/products/2-neogela-12-buste-borsa-frigo?variant=44721753948472&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --,9,8,613,1.31%,EUR,0.16,1.29
https://negozio.neogela.com/products/neogela-barattolo-400-gr-collagene-vero?variant=47801330958679&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --,9,7,"1,350",0.52%,EUR,0.45,3.15
https://negozio.neogela.com/products/4-neogela-12-buste-borsa-frigo?variant=44721833017656&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,7,586,1.19%,EUR,1.44,10.07
https://negozio.neogela.com/products/3-neogela-12-buste-borsa-frigo?variant=44721801658680&country=IT&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,IT | Pmax | Conv | Hot&Cold, --, --, --,6,576,1.04%,EUR,0.21,1.29
https://neogela.com/chi-siamo/,IT | Search | Traffico | Cold, --, --, --,6,"8,854",0.07%,EUR,0.28,1.69
https://neogela.com/neogela-shop/,IT | Search | Traffico | Cold, --, --, --,6,"11,226",0.05%,EUR,0.50,3.00
https://neogela.com/contatti/,IT | Search | Conv | Brand, --, --, --,4,"1,179",0.34%,EUR,0.21,0.84
https://neogela.com/prenota-una-consulenza/,IT | Pmax | Conv | Hot&Cold, --, --, --,4,834,0.48%,EUR,0.20,0.80
