Products - Cart items sold
"May 1, 2026 - June 18, 2026"
Item ID sold,Product Title sold,Currency code,Revenue,Lead revenue,Cross-sell revenue,Units sold,Lead units sold,Cross-sell units sold
shopify_it_8154226065720_47801330860375,1 Barattolo Collagene Neogela 400g - Ideale per Ossa e Articolazioni,EUR,8215.00,1043.20,0.00,126.00,16.00,0.00
shopify_it_8154226065720_47801330893143,2 Barattoli Collagene Neogela 400g - Ideale per Ossa e Articolazioni,EUR,5535.00,0.00,615.00,45.00,0.00,5.00
shopify_it_8154226065720_47801330991447,4 Barattoli Collagene Neogela 400g - Ideale per Ossa e Articolazioni,EUR,3420.00,0,0,15.00,0,0
shopify_it_8154226065720_47801330958679,3 Barattoli Collagene Neogela 400g - Ideale per Ossa e Articolazioni,EUR,3344.00,0.00,176.00,19.00,0.00,1.00
shopify_it_8154226065720_47801331024215,6 Barattoli Collagene Neogela 400g - Ideale per Ossa e Articolazioni,EUR,3024.00,0.00,336.00,9.00,0.00,1.00
shopify_it_8179951239480_44721753948472,2 Neogela + 12 Buste + Borsa frigo,EUR,1170.00,0,0,9.00,0,0
 --, --,EUR,743.90,0.00,7.00,22.00,0.00,1.00
shopify_it_8179971293496_44721801658680,3 Neogela + 12 Buste + Borsa frigo,EUR,182.00,0,0,1.00,0,0
shopify_it_8618441507159_47267067560279,Neogela Collagene barattolo 400g + scatola 28 buste 5g,EUR,179.80,0,0,2.00,0,0
shopify_it_8154249298232_47358329127255,Collagene Neogela Scatola: 28 buste da 5 grammi 1 Scatola,EUR,178.80,0.00,29.80,6.00,0.00,1.00
shopify_it_8154249298232_47358329225559,Collagene Neogela Scatola: 28 buste da 5 grammi 2 Scatole,EUR,167.40,0,0,3.00,0,0
shopify_it_8154249298232_47358329323863,Collagene Neogela Scatola: 28 buste da 5 grammi 3 Scatole,EUR,150.90,0,0,2.00,0,0
shopify_it_8154249298232_49939130188119,Collagene Neogela Scatola: 28 buste da 5 grammi 6 Scatole,EUR,140.70,0,0,1.00,0,0
shopify_it_8154249298232_49939130089815,Collagene Neogela Scatola: 28 buste da 5 grammi 4 Scatole,EUR,97.40,0,0,1.00,0,0
