Search keyword
"May 1, 2026 - June 18, 2026"
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
terapie osteoporosi,,,,IT | Search | Traffico | Cold,Rimedi,EUR,0.01,"2,865","19,967",14.35%,0.03,99.51,28.33%,49.15%,2.33,0,42.65,0.08%,4.98
osteoporosi cura,,,,IT | Search | Traffico | Cold,Rimedi,EUR,0.01,"2,300","12,528",18.36%,0.05,122.69,33.65%,64.83%,6.00,0,20.45,0.26%,9.79
rimedi osteoporosi,,,,IT | Search | Traffico | Cold,Rimedi,EUR,0.01,"1,796","12,083",14.86%,0.04,64.23,27.50%,55.48%,2.50,0,25.69,0.14%,5.32
neogela,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,"1,159","6,135",18.89%,0.42,483.27,67.51%,77.75%,92.09,0,5.25,7.95%,78.77
Cure naturali per osteoporosi,,,,IT | Search | Traffico | Cold,Rimedi,EUR,0.01,"1,106","4,808",23.00%,0.05,56.75,43.37%,67.58%,2.50,0,22.70,0.23%,11.80
neogela collagene,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,"1,098","5,767",19.04%,0.38,413.75,84.62%,87.64%,102.41,0,4.04,9.33%,71.74
bifosfonati naturali,,,,IT | Search | Traffico | Cold,Rimedi,EUR,0.01,830,"4,289",19.35%,0.09,72.23,41.02%,50.36%,2.33,0,30.96,0.28%,16.84
osteopenia come si cura,,,,IT | Search | Traffico | Cold,Rimedi,EUR,0.01,519,"4,153",12.50%,0.03,15.91,24.43%,48.48%,0.00,0,0,0.00%,3.83
neogela miglior prezzo,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,50,503,9.94%,0.36,18.19,49.84%,73.62%,1.49,0,12.20,2.98%,36.17
neogela collagene,,,,IT | Search | Conv | Brand,Keyword Navigazione,EUR,0.01,47,263,17.87%,0.60,28.06,71.93%,82.46%,4.00,0,7.01,8.51%,106.67
collagene neogela miglior prezzo,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,23,180,12.78%,0.42,9.55,52.14%,79.49%,0.00,0,0,0.00%,53.06
integratore per osteoporosi,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,12,27,44.44%,0.04,0.52,44.00%,72.00%,0.00,0,0,0.00%,19.18
neogela integratore,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,9,56,16.07%,0.45,4.09,55.88%,64.71%,0.50,0,8.18,5.56%,73.01
neogela bustine,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,8,135,5.93%,0.59,4.76,50.00%,65.12%,0.00,0,0,0.00%,35.25
neogela per quanto tempo assumerlo,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,6,21,28.57%,0.32,1.89,28.57%,64.29%,1.00,0,1.89,16.67%,90.17
integratore cartilagine,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,4,8,50.00%,0.76,3.06,42.86%,71.43%,0.00,0,0,0.00%,382.11
integratore collagene articolazioni,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,3,11,27.27%,0.76,2.27,54.55%,63.64%,0.00,0,0,0.00%,206.36
integratore per le articolazioni,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0,3,7,42.86%,0.16,0.47,66.67%,100.00%,0.00,0,0,0.00%,67.32
neogela shop,,,,IT | Search | Conv | Brand,Keyword Navigazione,EUR,0.01,2,5,40.00%,1.13,2.25,100.00%,100.00%,0.00,0,0,0.00%,450.00
osteoporosi alimentazione,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
medico delle ossa,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
bifosfonati effetti collaterali,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
osteoporosi può regredire,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
neogela funziona,,,,IT | Search | Conv | Brand,Branding,EUR,0.01,0,3,0.00%,0,0.00,33.33%,33.33%,0.00,0,0,0,0.00
integratore di collagene,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,1,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
miglior integratore di collagene,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
integratore ossa,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
integratore per artrosi,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
integratore per le ossa,,,,IT | Search | Traffico | Cold,Prodotti,EUR,0.01,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
