Shopping products
"May 1, 2026 - June 18, 2026"
Item ID,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
shopify_it_8154226065720_47801330860375,"1,427","176,378",0.81%,EUR,0.40,577.35,24.00,24.06,1.68%
shopify_it_8154249298232_47358329127255,39,"4,374",0.89%,EUR,0.30,11.74,0.00,0,0.00%
shopify_it_8618441507159_47267067560279,17,"2,551",0.67%,EUR,0.59,10.09,0.00,0,0.00%
shopify_it_8154226065720_47801330958679,4,"1,260",0.32%,EUR,0.73,2.93,0.00,0,0.00%
shopify_it_8154249298232_49939130089815,4,514,0.78%,EUR,0.67,2.69,0.00,0,0.00%
shopify_it_8154249298232_49939130188119,3,492,0.61%,EUR,0.16,0.48,0.00,0,0.00%
shopify_it_8154249298232_47358329225559,3,499,0.60%,EUR,0.55,1.64,0.00,0,0.00%
shopify_it_8179981812024_44721833017656,2,52,3.85%,EUR,4.58,9.16,0.00,0,0.00%
shopify_it_8154226065720_47801330991447,2,551,0.36%,EUR,0.51,1.02,0.00,0,0.00%
shopify_it_8154226065720_47801331024215,2,414,0.48%,EUR,0.26,0.52,0.00,0,0.00%
shopify_it_8154249298232_47358329323863,1,107,0.93%,EUR,1.72,1.72,0.00,0,0.00%
shopify_it_8154226065720_47801330893143,1,"1,526",0.07%,EUR,1.40,1.40,0.00,0,0.00%
shopify_it_8179951239480_44721753948472,1,81,1.23%,EUR,0.32,0.32,0.00,0,0.00%
shopify_it_8179971293496_44721801658680,1,42,2.38%,EUR,0.41,0.41,0.00,0,0.00%
 --,0,0,0,EUR,0,0.00,0.00,0,0
