"Inizio dei report","Fine dei report","Nome della campagna","Pubblicazione della campagna","Impostazione di attribuzione",Risultati,"Indicatore di risultato",Copertura,Frequenza,"Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Fine,Impression,"CPM (costo per 1000 impression) (EUR)","Clic sul link",shop_clicks,"CPC (costo per clic sul link) (EUR)","CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione","Costo per visualizzazione della pagina di destinazione (EUR)","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS risultati","Indicatore di valore del risultato","Valore risultati"
2026-05-01,2026-06-18,"Traffico Broad continuativa",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,3,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"Brand awareness",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,1,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"Conversioni freddo + caldo",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,10,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"MOFU - Traffico alle lp - Bifosfonati",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,3,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"BOFU - conversione - bifosfonati",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"TOFU - Traffico al blog - Bifosfonati",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,6,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"TOFU | cold | Interazione post | broad | 29.06.22",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,15,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"BOFU - Riacquisto clienti unico acquisto",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"BOFU | hot | Purchase | intento di acquisto | 22.11",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,"Uso del budget del gruppo di inserzioni",0,0,"In corso",0,0,,,,,0,0,0,,,,,,
2026-05-01,2026-06-18,"MOFU | warm | Traffico | interessi + interazione social 07.09",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,0,0,,10,Giornaliero,0,"In corso",0,0,,,,,0,0,0,,,,,,
