"Inizio dei report","Fine dei report","Nome dell'inserzione","Pubblicazione dell'inserzione",Risultati,"Indicatore di risultato","Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Impression,Copertura,Acquisti,Fine,"Impostazione di attribuzione",Offerta,"Tipo di offerta","Ultima modifica significativa","Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione","Nome del gruppo di inserzioni"
2026-05-26,2026-06-24,"Grafica Barattolo 400g",not_delivering,3,actions:offsite_conversion.fb_pixel_purchase,6.92333333,500,Totale,20.77,4708,2355,3,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-08T09:29:34+0200,"Nella media","Nella media","Nella media","Campagna Acquisto Giugno con interessi"
2026-05-26,2026-06-24,"Grafica Buste",not_delivering,5,actions:offsite_conversion.fb_pixel_purchase,21.24,500,Totale,106.2,25500,9749,5,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-08T09:29:34+0200,"Nella media","Nella media","Nella media","Campagna Acquisto Giugno con interessi"
2026-05-26,2026-06-24,"Grafica Barattolo 400g",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,10.44,500,Totale,20.88,4801,2482,2,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-08T09:28:26+0200,"Nella media","Nella media","Nella media","Campagna Acquisto Giugno pubblico broad"
2026-05-26,2026-06-24,"Grafica Buste",not_delivering,12,actions:offsite_conversion.fb_pixel_purchase,8.74416667,500,Totale,104.93,23111,10561,12,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-08T09:28:26+0200,"Nella media","Nella media","Nella media","Campagna Acquisto Giugno pubblico broad"
2026-05-26,2026-06-24,"Grafica Buste",not_delivering,5,actions:offsite_conversion.fb_pixel_purchase,21.318,500,Totale,106.59,24579,8160,5,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-08T09:25:17+0200,"Sopra la media","Nella media","Nella media","Campagna Acquisto Giugno pubblico retargeting"
2026-05-26,2026-06-24,"Grafica Barattolo 400g",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,20.5,500,Totale,20.5,4965,2622,1,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-08T09:25:17+0200,"Nella media","Nella media","Nella media","Campagna Acquisto Giugno pubblico retargeting"
2026-05-26,2026-06-24,"Grafica Barattolo 400g",active,11,actions:offsite_conversion.fb_pixel_purchase,19.33181818,500,Totale,212.65,47882,10543,11,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-15T17:55:26+0200,"Nella media","Nella media","Nella media","Campagna Acquisto Giugno pubblico retargeting - FB + IG"
2026-05-26,2026-06-24,"Grafica Buste",active,,,,500,Totale,0,0,0,,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-15T17:55:26+0200,-,-,-,"Campagna Acquisto Giugno pubblico retargeting - FB + IG"
2026-05-26,2026-06-24,"Grafica Barattolo 400g",active,,,,500,Totale,16.58,4023,2303,,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-15T17:54:48+0200,"Nella media","Nella media","Nella media","Campagna Acquisto Giugno pubblico broad - FB + IG"
2026-05-26,2026-06-24,"Grafica Buste",active,4,actions:offsite_conversion.fb_pixel_purchase,49.8,500,Totale,199.2,50656,16495,4,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-15T17:54:48+0200,"Nella media","Nella media","Nella media","Campagna Acquisto Giugno pubblico broad - FB + IG"
2026-05-26,2026-06-24,"Grafica Barattolo 400g",active,3,actions:offsite_conversion.fb_pixel_purchase,11,500,Totale,33,7749,3520,3,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-15T17:55:02+0200,"Nella media","Nella media","Nella media","Campagna Acquisto Giugno con interessi - FB + IG"
2026-05-26,2026-06-24,"Grafica Buste",active,11,actions:offsite_conversion.fb_pixel_purchase,16.27454545,500,Totale,179.02,45101,15998,11,2026-07-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-15T17:55:02+0200,"Nella media","Nella media","Sotto la media - 35% delle inserzioni meno pertinenti","Campagna Acquisto Giugno con interessi - FB + IG"
