"ID del post","ID dell'account","Nome utente dell'account","Nome account",Descrizione,"Durata (s)","Orario di pubblicazione",Permalink,"Tipo di post","Commento sui dati",Data,Visualizzazioni,Copertura,"Mi piace",Condivisioni,Follower,Commenti,Salvataggi
18056295392709504,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","Spesso dopo la diagnosi di osteoporosi ci si sente lasciati soli e ricevere una diagnosi importante senza sapere cosa fare dopo fa paura.

💡 Quando però capisci da dove iniziare cambia tutto
🦴 Curare l’osteoporosi è un percorso per il quale serve un approccio completo:
🔹 attività fisica regolare
🔹 alimentazione corretta
🔹 costanza nel tempo
Ma soprattutto serve qualcuno che ti aiuti a capire da dove iniziare 🫂

Se anche tu hai dubbi, comincia da qui! 👉 Informati e trova qualcuno che ti accompagni davvero!

#neogela #collagene #diagnosiosteoporosi #doloriossei #osteoporosieosteopenia",74,"05/05/2026 03:09",https://www.instagram.com/reel/DX8_vJemTQQ/,"Reel di Instagram",,Totale,2950,2310,33,2,4,8,7
18047452844685142,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","Torna📍Cosmofarma Exhibition a Bologna, l’evento annuale dedicato alla farmacia italiana!
E quest’anno ci saremo anche noi! 

🗓️ Dall’8 al 10 maggio 2026 ci potrai trovare 👉 nel padiglione 25 allo stand C2

Sarà un’occasione per:
🔹conoscerci di persona
🔹approfondire come supportare le tue ossa
🔹capire meglio il ruolo dell’integrazione nella tua routine

#neogela #cosmofarmaexhibition #collegene #osteoporosieosteopenia",0,"05/07/2026 03:07",https://www.instagram.com/p/DYCJQDhiCTG/,"Immagine di Instagram",,Totale,1486,1043,5,0,0,0,0
17952631233136181,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","👉 Ti hanno venduto il collagene come fosse una bacchetta magica?
Non lo è, ma può diventare un grandissimo alleato, se usato nel modo giusto.

🦴 Il collagene è una proteina strutturale fondamentale per: ossa, pelle e cartilagini.
⚠️ Però non cancella sintomi dovuti alle cattive abitudini

Per ottenere risultati reali servono:
🔹 costanza 
🔹 alimentazione equilibrata
🔹 movimento regolare
🔹 eventuale supporto medico

Il collagene da solo non basta, ma inserito in un percorso corretto può fare la differenza! 

Vuoi sapere quando e come funziona davvero? 
👉 Seguici qui per consigli chiari sul collagene

#neogela #collagene #supportocartilagene #doloriossei #osteoporosieosteopenia",94,"05/08/2026 03:12",https://www.instagram.com/reel/DYEucjakqQA/,"Reel di Instagram",,Totale,1900,1571,24,1,2,4,2
17999510717946041,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","Per la Festa della Mamma, fiori e profumi sono bellissimi 🌷ma c’è un pensiero che vale ancora di più: prendersi cura di lei❤️

💡 Soprattutto dopo i 40-50 anni, parlare di salute ossea, osteopenia, osteoporosi e movimento non è mai un eccesso di attenzione.

✨Neogela nasce proprio con questa idea: accompagnare il benessere quotidiano con il supporto del collagene, alleato prezioso per sentirsi bene e valorizzare la propria routine.

Auguri a tutte le mamme dal team Neogela 💙

📤 Condividi con chi cerca un’idea speciale per la Festa della Mamma!

#neogela #collagene #festadellamamma #saluteossa #recuperoosseo",0,"05/10/2026 03:02",https://www.instagram.com/p/DYJ3CjvCAa5/,"Carosello di Instagram",,Totale,1831,1051,6,0,0,0,1
18319692751256117,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","Come fai a capire se ti manca collagene?

Online si dice di tutto e di più! 
Ma ci sono dei segnali che possono indicare una riduzione del collagene:
🔹 articolazioni più rigide
🔹 recupero lento dopo attività fisica
🔹 cambiamenti di pelle e tessuti

⚠️ Attenzione però perchè questi segnali possono dipendere da molto altro come: stress, carenze nutrizionali o scarso movimento.

La strategia più sensata da seguire è quella che prevede un approccio completo, ed è in questo quadro che l’integrazione può avere un ruolo di supporto determinante 👇

🍊 Per esempio l’unione di collagene e vitamina C, è utile per la normale formazione del collagene e la funzione di ossa e cartilagini.

👉 Scopri di più su neogela.com

#neogela #collagene #coarenzadicollagene #saluteossa",82,"05/12/2026 03:10",https://www.instagram.com/reel/DYPBVFNjIRu/,"Reel di Instagram",,Totale,2157,1688,29,4,0,0,9
18103035764068624,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","Come si controlla quanto sono forti le ossa?
Molte persone scoprono la risposta solo dopo una frattura 🦴

Si chiama MOC (densitometria ossea) ed è l’esame che misura la densità minerale ossea.

Serve per individuare:
🔹 osteopenia
🔹 osteoporosi
🔹 fragilità ossea

Il problema è che spesso si arriva a farla troppo tardi quando le ossa si sono già indebolite senza:
❌ dolore
❌ sintomi chiari
❌ segnali evidenti

👉 Ecco perché dopo una certa età, soprattutto in menopausa, la MOC diventa un controllo prezioso: semplice, rapido e con basso impatto radiologico

Se non l’hai mai fatta, è il momento per informarti e parlarne con il tuo medico 🧑‍⚕️

#neogela #moc #densitometriaossea #saluteossea #osteopeniaeosteoporosi",77,"05/14/2026 03:05",https://www.instagram.com/reel/DYUKc_slS2k/,"Reel di Instagram",,Totale,2193,1897,24,2,1,0,10
18587687455044573,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","🗣️ Pensavo che la MOC fosse un esame “da anziani”? Finché non ho scoperto la verità 🦴

🔹Nessun dolore
🔹Nessun sintomo evidente
🔹Nessun campanello d’allarme

Risultato? 👉 Riduzione della densità ossea

Da lì mi sono informata ed è iniziato il cambiamento:
✔️ alimentazione più mirata
✔️ movimento costante
✔️ supporto per ossa e articolazioni
✔️ integrazione consapevole (come il collagene)

Non aspettare che sia qualcun altro a dirtelo, informati e scegli di occuparti delle tue ossa fin da subito! 💙

👉 Scopri di più su neogela.com

#neogela #moc #riduzionedensitàossea #collagene #saluteossea",67,"05/15/2026 03:11",https://www.instagram.com/reel/DYWv4z6iti0/,"Reel di Instagram",,Totale,2313,1850,29,2,0,0,7
18317782039258674,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","Ma la MOC si può fare solo ogni 2 anni?

Molte persone lo credono, ma non è così!

📌 Nel sistema sanitario spesso viene prescritta ogni 2 anni, manon perché farla prima sia pericoloso.

La MOC-DEXA ha, infatti, un impatto radiologico molto basso, questo significa che, quando serve monitorare un percorso, può essere ripetuta anche prima.

💡 Ma allora quando rifarla? Lo decide lo specialista, in base a:
✔️ situazione iniziale
✔️ obiettivi del percorso
✔️ tempi biologici reali delle ossa

Perchè ossa e articolazioni non cambiano in 2 settimane. Anche con integrazione costante, come il collagene, servono spessoalmeno 6 mesiper osservare cambiamenti misurabili.

❤️ Per questo il monitoraggio va fatto bene: né troppo presto… né troppo tardi.

💬 Lo sapevi? Scrivicelo nei commenti

#neogela #collagene #coarenzadicollagene #saluteossa",72,"05/18/2026 03:09",https://www.instagram.com/reel/DYeeGtKlH5h/,"Reel di Instagram",,Totale,4255,3274,53,3,5,6,17
18170369008422065,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","Se le tue articolazioni scricchiolano devi sapere che: 
🦴a volte è solo rigidità
🦴altre è un segnale da ascoltare

Molti fastidi articolari nascono da: troppe ore seduti o poca attività fisica che possono portare a 👉 scricchiolii, piccoli dolori o rigidità.

⚠️ Ma ci sono segnali che meritano attenzione:
❌ gonfiore
❌ calore dell’articolazione
❌ rigidità al mattino prolungata
❌ dolore notturno
❌ difficoltà nei movimenti quotidiani

In questi casi è sempre meglio eseguire una valutazione clinica, degli esami del sangue mirati o un’ecografia per tendini.

👉 Integratori come il collagene unito alla vitamina C possono supportare articolazioni, cartilagini e tessuti connettivi.

💙 Ma attenzione, funzionano se inseriti in un approccio completo: movimento, stile di vita corretto e controlli quando servono.

👉 Scopri di più su neogela.com

#neogela #collagene #coarenzadicollagene #saluteossa #articolazionichescricchiolano",98,"05/20/2026 03:14",https://www.instagram.com/reel/DYjoR9UjR8u/,"Reel di Instagram",,Totale,1717,1410,18,3,2,2,4
18181573708385614,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","Queste abitudini sono corrette o stanno mettendo in difficoltà il tuo corpo? 🤔

Ecco un test veloce 👆hai 3 secondi per rispondere ad ogni domanda ⏳

Spesso sono proprio le abitudini quotidiane a fare la differenza sulla salute e imparare a fare scelte migliori può aiutarti a prevenire alcune problematiche legate a:
🦴 ossa
🏃 articolazioni
💪 tessuti connettivi
🦵 recupero muscolare
⚖️ equilibrio metabolico 

👇 Quante ne hai indovinate? Scrivicelo nei commenti!

#neogela #abitudinialimentari #collagene #saluteossea",65,"05/22/2026 03:15",https://www.instagram.com/reel/DYox9EIiEMJ/,"Reel di Instagram",,Totale,1546,1324,17,0,1,0,3
