"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"18 giugno","Diagnosi di osteoporosi e zero risposte? 👉 Curare l’osteoporosi è un percorso per il quale serve un approccio completo Hai dubbi? Informandoti e fatti accompagnare! 🫂 #neogela #collagene #diagnosiosteoporosi #doloriossei #osteoporosieosteopenia","https://www.tiktok.com/@neogela_collagene/video/7636346036067274017","5 maggio","133","2","15","28990"
"18 giugno","Dopo i 40-50 anni, il rischio di osteoporosi aumenta! 🦴 Per prevenire esegui controlli mirati e informati! 📚 Approfondisci su neogela.com 🔗 #neogela #collagene #supportocartilagene #menopausa #osteoporosi","https://www.tiktok.com/@neogela_collagene/video/7634861353538211104","1 maggio","120","3","14","20525"
"18 giugno","Dolore alle ossa: sai da dove parte? 🦴 MOC, esami del sangue🩸ed esami diagnostici mirati possono aiutarti. Vuoi approfondire questi temi? Seguici sui nostri profili! #neogela #collagene #supportocartilagene #doloriossei #osteoporosieosteopenia","https://www.tiktok.com/@neogela_collagene/video/7634119500589206817","29 aprile","724","22","540","68772"
"18 giugno","💰 Un collagene economico è davvero più conveniente? Hai mai fatto il conto del costo reale al giorno? 👉 Come leggere un integratore di collagene? Continua a informarti e fai i conti fino in fondo! #neogela #costocollagene #collagene #saluteossea #articolazioni","https://www.tiktok.com/@neogela_collagene/video/7650818334895705376","13 giugno","31","3","4","15617"
"18 giugno","Prendi il collagene in capsule? Fermati un secondo! ✋ Ogni capsula contiene 1 g di collagene, ma il fabbisogno reale parte da 5 g fino a 20–30 g giornalieri! 💊 💬 Qual è il dosaggio adatto te? Scrivici! #neogela #collagene #capsuleopolvere #saluteossa #recuperoosseo","https://www.tiktok.com/@neogela_collagene/video/7626326927451737376","8 aprile","124","6","12","18242"
"18 giugno","🦴 Le tue ossa a 60 anni si stanno costruendo adesso. Segui già questi 3 consigli? Scrivimelo nei commenti ⬇️ #neogela #3buoneabitudini #collagene #saluteossea","https://www.tiktok.com/@neogela_collagene/video/7650447918163332385","12 giugno","15","0","3","4247"
"18 giugno","Il collagene fa davvero miracoli? 🤔 Da solo non basta, conta come lo usi! 👉 Seguici per consigli chiari sul collagene #neogela #collagene #supportocartilagene #doloriossei #osteoporosieosteopenia","https://www.tiktok.com/@neogela_collagene/video/7637459085574655264","8 maggio","5","0","0","2334"
"18 giugno","Perché dire “il collagene fa bene” non basta. 🤔 Soprattutto se stai affrontando osteoporosi, artrosi o fratture: in questi casi non serve un consiglio generico, serve un piano. Serve capire: 👉 se il collagene può fare al caso tuo 👉 per quanto tempo integrarlo 👉 quali abitudini abbinare (alimentazione, proteine, routine, costanza) per ottenere un beneficio reale Noi offriamo la consulenza per un motivo semplice: vogliamo vedere le persone migliorare davvero. E questo succede quando il consiglio è personalizzato, costruito sulla tua età, sul tuo stato di salute e sui tuoi obiettivi. Se vuoi iniziare un percorso che abbia senso per te, non fermarti al prodotto.Parti da un consiglio. Scrivici “CONSULENZA” in DM e ti spieghiamo come funziona.💬 #neogela #collagene #consulenza #saluteossa","https://www.tiktok.com/@neogela_collagene/video/7613353720255909153","4 marzo","79","1","1","17357"
"18 giugno","La MOC si fa solo ogni 2️⃣ anni? Può essere ripetuta anche prima, ma lo decide lo specialista 🧑‍⚕️ Lo sapevi? 💬 #neogela #collagene #coarenzadicollagene #saluteossa","https://www.tiktok.com/@neogela_collagene/video/7641170051218820385","18 maggio","96","3","16","16817"
"18 giugno","Ti hanno mai detto cosa fare per l’osteoporosi, oltre ai farmaci? 🤔 Movimento quotidiano, alimentazione mirata e integrazione fanno la differenza! 💬 È successo anche a te? #neogela #collagene #supportocartilagene #saluteossa","https://www.tiktok.com/@neogela_collagene/video/7628927786857565462","15 aprile","749","6","33","103954"
"18 giugno","Quando arriva il referto MOC e parte il caos più totale! Ti capiamo. 💭 La MOC è l'esame più importante per le tue ossa, ma interpretarla non è semplice. In questo video ti spieghiamo a che cosa prestare attenzione, per essere più consapevole della salute delle tue ossa. #neogela #collagene #saluteossa #moc #osteoporosi #osteopenia","https://www.tiktok.com/@neogela_collagene/video/7577731054539132192","28 novembre","3252","49","1590","446742"
"18 giugno","Dai 30 anni bastano 5 grammi al giorno per iniziare a proteggere le tue ossa.Eppure quasi nessuno ci pensa.😩 Intorno ai 30 anni la produzione di collagene inizia a calare. Le conseguenze spesso non si sentono subito, ma lavorano in silenzio: articolazioni meno elastiche, piccoli fastidi ricorrenti, struttura ossea che col tempo può diventare più vulnerabile. 🦴 Ecco perché la prevenzione è tutto. Se inizi con costanza (es. 5 g al giorno di collagene idrolizzato, da valutare in base alle esigenze), dai al corpo una “materia prima” utile a sostenere i tessuti: ossa, articolazioni, cartilagini… e anche la pelle. Non è magia. È abitudine. È a lungo periodo.💙 Tu lo assumi già? A che età hai iniziato? Faccelo sapere nei commenti! #neogela #collagene #prevenzione #saluteossa","https://www.tiktok.com/@neogela_collagene/video/7618548773324705056","18 marzo","91","0","5","7868"
"18 giugno","È vero che il collagene fa ingrassare? 🤔 Il Dottor Zeggio risponde. Ascolta la sua spiegazione: potresti scoprire che il collagene è un grande alleato anche per un’ottima forma fisica 😉 #osteoporosi #neogela #benessere #collagene #neogelacollagene #ossa #articolazioni #naturale #dolore #fyp ","https://www.tiktok.com/@neogela_collagene/video/7429633271333473568","25 ottobre","150","22","38","10283"
"18 giugno",""Prendo collagene... ma sta funzionando?" Domanda legittima! A volte i risultati hanno bisogno di un po' più di tempo, ma ci sono segnali che puoi osservare 👇 ✅ Articolazioni più fluide → meno rigidità, meno dolore ✅ Flessibilità migliorata → addio sensazione di "blocco" mattutino ✅ Più forza e stabilità → ti senti più sicura nei movimenti Per dati misurabili (come la densità ossea)? Servono almeno 6 mesi. 🔑 Il trucco è la costanza 💙 Non sai se stai integrando correttamente?Contattaci per una consulenza personalizzata! La tua salute merita risposte chiare ✨ #neogela #collagene #integratore #saluteossa","https://www.tiktok.com/@neogela_collagene/video/7602221577165475105","2 febbraio","1454","36","118","142759"
"18 giugno","🧪 10 atlete, 3 mesi di test: il collagene può aiutare davvero il recupero muscolare e le performance sportive? 👉 Seguici per scoprilo! #neogela #trialscientifico #collagene #recuperomuscolare #performancesportiva","https://www.tiktok.com/@neogela_collagene/video/7645252101026663712","29 maggio","5","0","0","288"
