"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"18 giugno","Diagnosi di osteoporosi e zero risposte? 👉 Curare l’osteoporosi è un percorso per il quale serve un approccio completo Hai dubbi? Informandoti e fatti accompagnare! 🫂 #neogela #collagene #diagnosiosteoporosi #doloriossei #osteoporosieosteopenia","https://www.tiktok.com/@neogela_collagene/video/7636346036067274017","5 maggio","133","2","15","28990"
"18 giugno","Dolore alle ossa: sai da dove parte? 🦴 MOC, esami del sangue🩸ed esami diagnostici mirati possono aiutarti. Vuoi approfondire questi temi? Seguici sui nostri profili! #neogela #collagene #supportocartilagene #doloriossei #osteoporosieosteopenia","https://www.tiktok.com/@neogela_collagene/video/7634119500589206817","29 aprile","724","22","540","68772"
"18 giugno","Dopo i 40-50 anni, il rischio di osteoporosi aumenta! 🦴 Per prevenire esegui controlli mirati e informati! 📚 Approfondisci su neogela.com 🔗 #neogela #collagene #supportocartilagene #menopausa #osteoporosi","https://www.tiktok.com/@neogela_collagene/video/7634861353538211104","1 maggio","120","3","14","20525"
"18 giugno","Prendi il collagene in capsule? Fermati un secondo! ✋ Ogni capsula contiene 1 g di collagene, ma il fabbisogno reale parte da 5 g fino a 20–30 g giornalieri! 💊 💬 Qual è il dosaggio adatto te? Scrivici! #neogela #collagene #capsuleopolvere #saluteossa #recuperoosseo","https://www.tiktok.com/@neogela_collagene/video/7626326927451737376","8 aprile","124","6","12","18242"
"18 giugno","Quando arriva il referto MOC e parte il caos più totale! Ti capiamo. 💭 La MOC è l'esame più importante per le tue ossa, ma interpretarla non è semplice. In questo video ti spieghiamo a che cosa prestare attenzione, per essere più consapevole della salute delle tue ossa. #neogela #collagene #saluteossa #moc #osteoporosi #osteopenia","https://www.tiktok.com/@neogela_collagene/video/7577731054539132192","28 novembre","3252","49","1590","446742"
"18 giugno","🦴 Le tue ossa a 60 anni si stanno costruendo adesso. Segui già questi 3 consigli? Scrivimelo nei commenti ⬇️ #neogela #3buoneabitudini #collagene #saluteossea","https://www.tiktok.com/@neogela_collagene/video/7650447918163332385","12 giugno","15","0","3","4247"
"18 giugno","Collagene, glucosamina o condroitina: sai davvero che differenza c'è? 🤔 👉 Approfondisci la scienza dietro le soluzioni per il benessere delle tue articolazioni! #neogela #glucosamina #collagene #condroitina #osteoporosi","https://www.tiktok.com/@neogela_collagene/video/7647849894002085153","5 giugno","20","0","5","648"
"18 giugno","Le tue articolazioni scricchiolano? 🦴 Ci sono dei segnali da non sottovalutare. 👉 Scopri di più su neogela.com #neogela #collagene #coarenzadicollagene #saluteossa #articolazionichescricchiolano","https://www.tiktok.com/@neogela_collagene/video/7641912343386918176","20 maggio","6","0","1","571"
"18 giugno","Il collagene fa davvero miracoli? 🤔 Da solo non basta, conta come lo usi! 👉 Seguici per consigli chiari sul collagene #neogela #collagene #supportocartilagene #doloriossei #osteoporosieosteopenia","https://www.tiktok.com/@neogela_collagene/video/7637459085574655264","8 maggio","5","0","0","2334"
"18 giugno",""Prendo collagene... ma sta funzionando?" Domanda legittima! A volte i risultati hanno bisogno di un po' più di tempo, ma ci sono segnali che puoi osservare 👇 ✅ Articolazioni più fluide → meno rigidità, meno dolore ✅ Flessibilità migliorata → addio sensazione di "blocco" mattutino ✅ Più forza e stabilità → ti senti più sicura nei movimenti Per dati misurabili (come la densità ossea)? Servono almeno 6 mesi. 🔑 Il trucco è la costanza 💙 Non sai se stai integrando correttamente?Contattaci per una consulenza personalizzata! La tua salute merita risposte chiare ✨ #neogela #collagene #integratore #saluteossa","https://www.tiktok.com/@neogela_collagene/video/7602221577165475105","2 febbraio","1454","36","118","142759"
"18 giugno","Il 40% delle donne che affrontano un tumore al seno non lo sanno: le terapie ormonali aumentano il rischio di osteoporosi. Il Dottor Zeggio porta alla nostra attenzione questo importante tema, spiegandoci come prevenire e ridurre i rischi sulla salute ossea connessi alle terapie oncologiche per tumore al seno.👨‍⚕️ #osteoporosi #collagene #tumorealseno #donne #neogela #neogelacollagene #ossa #benessere ","https://www.tiktok.com/@neogela_collagene/video/7436028809373060384","11 novembre","29","2","5","1616"
"18 giugno","È vero che il collagene fa ingrassare? 🤔 Il Dottor Zeggio risponde. Ascolta la sua spiegazione: potresti scoprire che il collagene è un grande alleato anche per un’ottima forma fisica 😉 #osteoporosi #neogela #benessere #collagene #neogelacollagene #ossa #articolazioni #naturale #dolore #fyp ","https://www.tiktok.com/@neogela_collagene/video/7429633271333473568","25 ottobre","150","22","38","10283"
