"Date","Hour","Active followers"
"11 giugno","0","1081"
"11 giugno","1","570"
"11 giugno","2","309"
"11 giugno","3","209"
"11 giugno","4","216"
"11 giugno","5","390"
"11 giugno","6","768"
"11 giugno","7","1262"
"11 giugno","8","1325"
"11 giugno","9","1231"
"11 giugno","10","1177"
"11 giugno","11","1237"
"11 giugno","12","1402"
"11 giugno","13","1668"
"11 giugno","14","1814"
"11 giugno","15","1779"
"11 giugno","16","1719"
"11 giugno","17","1701"
"11 giugno","18","1609"
"11 giugno","19","1743"
"11 giugno","20","1777"
"11 giugno","21","2049"
"11 giugno","22","2072"
"11 giugno","23","1715"
"12 giugno","0","1051"
"12 giugno","1","539"
"12 giugno","2","271"
"12 giugno","3","196"
"12 giugno","4","238"
"12 giugno","5","373"
"12 giugno","6","794"
"12 giugno","7","1338"
"12 giugno","8","1348"
"12 giugno","9","1199"
"12 giugno","10","1190"
"12 giugno","11","1219"
"12 giugno","12","1386"
"12 giugno","13","1654"
"12 giugno","14","1814"
"12 giugno","15","1785"
"12 giugno","16","1778"
"12 giugno","17","1722"
"12 giugno","18","1688"
"12 giugno","19","1667"
"12 giugno","20","1731"
"12 giugno","21","1976"
"12 giugno","22","2035"
"12 giugno","23","1769"
"13 giugno","0","1134"
"13 giugno","1","636"
"13 giugno","2","337"
"13 giugno","3","228"
"13 giugno","4","211"
"13 giugno","5","345"
"13 giugno","6","645"
"13 giugno","7","1199"
"13 giugno","8","1355"
"13 giugno","9","1224"
"13 giugno","10","1216"
"13 giugno","11","1253"
"13 giugno","12","1353"
"13 giugno","13","1619"
"13 giugno","14","1817"
"13 giugno","15","1885"
"13 giugno","16","1768"
"13 giugno","17","1771"
"13 giugno","18","1677"
"13 giugno","19","1619"
"13 giugno","20","1649"
"13 giugno","21","1705"
"13 giugno","22","1795"
"13 giugno","23","1685"
"14 giugno","0","1318"
"14 giugno","1","798"
"14 giugno","2","448"
"14 giugno","3","263"
"14 giugno","4","199"
"14 giugno","5","278"
"14 giugno","6","517"
"14 giugno","7","1062"
"14 giugno","8","1275"
"14 giugno","9","1419"
"14 giugno","10","1400"
"14 giugno","11","1432"
"14 giugno","12","1505"
"14 giugno","13","1559"
"14 giugno","14","1768"
"14 giugno","15","1831"
"14 giugno","16","1832"
"14 giugno","17","1830"
"14 giugno","18","1792"
"14 giugno","19","1753"
"14 giugno","20","1861"
"14 giugno","21","2010"
"14 giugno","22","2071"
"14 giugno","23","1775"
"15 giugno","0","1130"
"15 giugno","1","620"
"15 giugno","2","315"
"15 giugno","3","224"
"15 giugno","4","208"
"15 giugno","5","350"
"15 giugno","6","671"
"15 giugno","7","1278"
"15 giugno","8","1307"
"15 giugno","9","1256"
"15 giugno","10","1231"
"15 giugno","11","1256"
"15 giugno","12","1400"
"15 giugno","13","1702"
"15 giugno","14","1837"
"15 giugno","15","1784"
"15 giugno","16","1684"
"15 giugno","17","1606"
"15 giugno","18","1639"
"15 giugno","19","1590"
"15 giugno","20","1873"
"15 giugno","21","2072"
"15 giugno","22","2164"
"15 giugno","23","1726"
"16 giugno","0","1072"
"16 giugno","1","545"
"16 giugno","2","308"
"16 giugno","3","217"
"16 giugno","4","220"
"16 giugno","5","352"
"16 giugno","6","723"
"16 giugno","7","1289"
"16 giugno","8","1302"
"16 giugno","9","1212"
"16 giugno","10","1215"
"16 giugno","11","1250"
"16 giugno","12","1666"
"16 giugno","13","1679"
"16 giugno","14","1887"
"16 giugno","15","1781"
"16 giugno","16","1756"
"16 giugno","17","1626"
"16 giugno","18","1655"
"16 giugno","19","1723"
"16 giugno","20","1798"
"16 giugno","21","2100"
"16 giugno","22","2195"
"16 giugno","23","1888"
"17 giugno","0","1069"
"17 giugno","1","556"
"17 giugno","2","0"
"17 giugno","3","0"
"17 giugno","4","0"
"17 giugno","5","0"
"17 giugno","6","0"
"17 giugno","7","0"
"17 giugno","8","0"
"17 giugno","9","0"
"17 giugno","10","0"
"17 giugno","11","0"
"17 giugno","12","0"
"17 giugno","13","0"
"17 giugno","14","0"
"17 giugno","15","0"
"17 giugno","16","0"
"17 giugno","17","0"
"17 giugno","18","0"
"17 giugno","19","0"
"17 giugno","20","0"
"17 giugno","21","0"
"17 giugno","22","0"
"17 giugno","23","0"
