"Date","Followers","Difference in followers from previous day"
"20 maggio","7012","1"
"21 maggio","7013","0"
"22 maggio","7013","1"
"23 maggio","7014","1"
"24 maggio","7015","1"
"25 maggio","7016","0"
"26 maggio","7016","0"
"27 maggio","7016","0"
"28 maggio","7016","-1"
"29 maggio","7015","1"
"30 maggio","7016","-1"
"31 maggio","7015","1"
"1 giugno","7016","0"
"2 giugno","7016","0"
"3 giugno","7016","-1"
"4 giugno","7015","1"
"5 giugno","7016","0"
"6 giugno","7016","1"
"7 giugno","7017","0"
"8 giugno","7017","1"
"9 giugno","7018","-1"
"10 giugno","7017","1"
"11 giugno","7018","1"
"12 giugno","7019","1"
"13 giugno","7020","0"
"14 giugno","7020","11"
"15 giugno","7031","18"
"16 giugno","7049","0"
