"Date","Video Views","Profile Views","Likes","Comments","Shares"
"14 maggio","2145","6","25","0","6"
"15 maggio","1616","3","20","0","2"
"16 maggio","720","1","6","1","1"
"17 maggio","494","0","3","5","2"
"18 maggio","4150","8","33","1","6"
"19 maggio","9888","8","52","2","13"
"20 maggio","2488","4","20","-1","4"
"21 maggio","1728","2","10","0","2"
"22 maggio","1977","1","13","0","1"
"23 maggio","1310","3","13","3","4"
"24 maggio","904","2","9","0","2"
"25 maggio","631","3","8","7","4"
"26 maggio","362","0","0","-5","1"
"27 maggio","456","0","2","0","3"
"28 maggio","374","1","3","0","3"
"29 maggio","610","1","9","-2","1"
"30 maggio","329","0","6","0","1"
"31 maggio","282","0","4","0","0"
"1 giugno","472","3","3","0","0"
"2 giugno","245","0","5","0","1"
"3 giugno","382","0","6","0","0"
"4 giugno","265","2","2","0","1"
"5 giugno","763","8","17","0","3"
"6 giugno","256","0","5","0","1"
"7 giugno","307","1","1","0","4"
"8 giugno","325","2","5","0","2"
"9 giugno","360","1","4","0","1"
"10 giugno","407","2","7","-1","1"
"11 giugno","315","4","4","0","1"
"12 giugno","573","0","10","0","5"
"13 giugno","629","3","4","0","0"
"14 giugno","352","0","4","0","1"
"15 giugno","25448","83","96","2","16"
"16 giugno","34156","114","172","9","17"
