"Date","Total Viewers","New Viewers","Returning Viewers"
"21 maggio","2154","435","1719"
"22 maggio","1369","282","1087"
"23 maggio","1721","381","1340"
"24 maggio","1052","290","762"
"25 maggio","767","288","479"
"26 maggio","514","202","312"
"27 maggio","303","129","174"
"28 maggio","378","189","189"
"29 maggio","310","149","161"
"30 maggio","529","267","262"
"31 maggio","273","129","144"
"1 giugno","241","101","140"
"2 giugno","410","145","265"
"3 giugno","213","111","102"
"4 giugno","314","154","160"
"5 giugno","208","106","102"
"6 giugno","657","172","485"
"7 giugno","229","105","124"
"8 giugno","262","141","121"
"9 giugno","253","139","114"
"10 giugno","309","172","137"
"11 giugno","292","139","153"
"12 giugno","258","141","117"
"13 giugno","478","166","312"
"14 giugno","563","226","337"
"15 giugno","309","164","145"
"16 giugno","17295","11726","5569"
"17 giugno","undefined","0","0"
