"ID del post","ID della Pagina","Nome della Pagina",Titolo,Descrizione,"Durata (s)","Orario di pubblicazione","Tipo di didascalia",Permalink,"È un cross-posting","È una condivisione","Tipo di post",Lingue,"Etichette personalizzate","Stato del contenuto finanziato","Commento sui dati",Data,Visualizzazioni,Copertura,"Reazioni, commenti e condivisioni",Reazioni,Commenti,Condivisioni,"Clic totali","Utilizzo del pubblico corrispondente alla targetizzazione (Photo Click)","Altri clic","Clic sul link","Visualizzazioni da Post organici","Visualizzazioni da Post in evidenza","Copertura da Post organici","Copertura da Post in evidenza","Visualizzazioni del video di 3 secondi","Visualizzazioni del video di 1 minuto","Persone che hanno visualizzato per 3 secondi","Persone che hanno visualizzato per 1 minuto","Visualizzazioni del video di 3 secondi da Post in evidenza","Visualizzazioni del video di 3 secondi da Post organici","Visualizzazioni di Secondi","Visualizzazioni di Secondi in media","Ricavi stimati (USD)","CPM delle inserzioni: (USD)","Impression delle inserzioni","Persone che hanno visualizzato e che tornano ","Visualizzazioni del video di 1 minuto da parte delle persone che hanno visualizzato e che tornano ","Visualizzazioni di Secondi da parte delle persone che hanno visualizzato e che tornano ","Visualizzazioni di Secondi in media da parte delle persone che hanno visualizzato e che tornano "
1575112994615447,100063502856757,NEOGELA,"Torna📍Cosmofarma Exhibition a Bologna, l’evento annuale dedicato alla farmacia italiana!
E quest’anno ci saremo anche noi! 

🗓️ Dall’8 al 10 maggio 2026 ci potrai trovare 👉 nel padiglione 25 allo stand C2

Sarà un’occasione per:
🔹conoscerci di persona
🔹approfondire come supportare le tue ossa
🔹capire meglio il ruolo dell’integrazione nella tua routine",,0,"05/07/2026 03:01",N/A,https://www.facebook.com/neogela/posts/pfbid06cizbWZ1XJZ11gM7gzsRWCkdKaiD1GdKmexLmGZGqFpw3RQbB5cPhmYhZnbJ2ABUl,0,0,Foto,,,,,Totale,486,356,5,4,0,1,5,3,2,,486,0,356,0,0,0,0,0,0,0,,,,,,,,,
1576096707850409,100063502856757,NEOGELA,"Il collagene è davvero un rimedio miracoloso?","👉 Ti hanno venduto il collagene come fosse una bacchetta magica?
Non lo è, ma può diventare un grandissimo alleato, se usato nel modo giusto.

🦴 Il collagene è una proteina strutturale fondamentale per: ossa, pelle e cartilagini.
⚠️ Però non cancella sintomi dovuti alle cattive abitudini

Per ottenere risultati reali servono:
🔹 costanza 
🔹 alimentazione equilibrata
🔹 movimento regolare
🔹 eventuale supporto medico

Il collagene da solo non basta, ma inserito in un percorso corretto può fare la differenza! 

Vuoi sapere quando e come funziona davvero? 
👉 Seguici qui per consigli chiari sul collagene",95,"05/08/2026 03:02",auto,https://www.facebook.com/reel/1362178952419020/,0,0,Video,,,,,Totale,1243,1187,8,8,0,0,5,,5,,1243,0,1187,0,370,71,360,69,0,370,11188.688,9.546,0,0,0,,,,
1578051494321597,100063502856757,NEOGELA,"Per la Festa della Mamma, fiori e profumi sono bellissimi 🌷ma c’è un pensiero che vale ancora di più: prendersi cura di lei❤️

💡 Soprattutto dopo i 40-50 anni, parlare di salute ossea, osteopenia, osteoporosi e movimento non è mai un eccesso di attenzione.

✨Neogela nasce proprio con questa idea: accompagnare il benessere quotidiano con il supporto del collagene, alleato prezioso per sentirsi bene e valorizzare la propria routine.

Auguri a tutte le mamme dal team Neogela 💙

📤 Condividi con chi cerca un’idea speciale per la Festa della Mamma!",,0,"05/10/2026 03:00",N/A,https://www.facebook.com/neogela/posts/pfbid02DUaQ7qnuyvmhaKhynUZymbXw1MvLYpbmN8g2DySZC3jT3dEKDPcFAejteGP13NqDl,0,0,Foto,,,,,Totale,306,216,1,1,0,0,1,1,,,306,0,216,0,0,0,0,0,0,0,,,,,,,,,
1579886480804765,100063502856757,NEOGELA,"Carenza di collagene? Ecco come capirlo","Come fai a capire se ti manca collagene?

Online si dice di tutto e di più! 
Ma ci sono dei segnali che possono indicare una riduzione del collagene:
🔹 articolazioni più rigide
🔹 recupero lento dopo attività fisica
🔹 cambiamenti di pelle e tessuti

⚠️ Attenzione però perchè questi segnali possono dipendere da molto altro come: stress, carenze nutrizionali o scarso movimento.

La strategia più sensata da seguire è quella che prevede un approccio completo, ed è in questo quadro che l’integrazione può avere un ruolo di supporto determinante 👇

🍊 Per esempio l’unione di collagene e vitamina C, è utile per la normale formazione del collagene e la funzione di ossa e cartilagini.

👉 Scopri di più su neogela.com",83,"05/12/2026 03:05",auto,https://www.facebook.com/reel/1496967072158198/,0,0,Video,,,,,Totale,2198,1990,13,11,0,2,16,,15,1,2197,0,1990,0,784,123,766,121,0,784,20709.113,10.033,0,0,0,27,27,1994.254,99.7127
1581769037283176,100063502856757,NEOGELA,"Densitometria ossea: l’esame per le ossa","Come si controlla quanto sono forti le ossa?
Molte persone scoprono la risposta solo dopo una frattura 🦴

Si chiama MOC (densitometria ossea) ed è l’esame che misura la densità minerale ossea.

Serve per individuare:
🔹 osteopenia
🔹 osteoporosi
🔹 fragilità ossea

Il problema è che spesso si arriva a farla troppo tardi quando le ossa si sono già indebolite senza:
❌ dolore
❌ sintomi chiari
❌ segnali evidenti

👉 Ecco perché dopo una certa età, soprattutto in menopausa, la MOC diventa un controllo prezioso: semplice, rapido e con basso impatto radiologico

Se non l’hai mai fatta, è il momento per informarti e parlarne con il tuo medico 🧑‍⚕️",78,"05/14/2026 03:00",auto,https://www.facebook.com/reel/950352657609923/,0,0,Video,,,,,Totale,6995,7058,36,28,4,4,100,,100,,6988,0,7058,0,3163,250,3163,249,0,3163,53661.845,8.027,0,0,0,28,28,1896.086,90.28980952381
1582698140523599,100063502856757,NEOGELA,"Non mi avevano detto di fare la MOC","🗣️ Pensavo che la MOC fosse un esame “da anziani”? Finché non ho scoperto la verità 🦴

🔹Nessun dolore
🔹Nessun sintomo evidente
🔹Nessun campanello d’allarme

Risultato? 👉 Riduzione della densità ossea

Da lì mi sono informata ed è iniziato il cambiamento:
✔️ alimentazione più mirata
✔️ movimento costante
✔️ supporto per ossa e articolazioni
✔️ integrazione consapevole (come il collagene)

Non aspettare che sia qualcun altro a dirtelo, informati e scegli di occuparti delle tue ossa fin da subito! 💙

👉 Scopri di più su neogela.com",68,"05/15/2026 03:01",N/A,https://www.facebook.com/reel/1961272671417040/,0,0,Video,,,,,Totale,4792,4434,42,39,0,3,36,,35,1,4787,0,4434,0,2578,408,2552,402,0,2578,65379.46,14.745,0,0,0,57,57,3028.206,81.843405405405
1585543153572431,100063502856757,NEOGELA,"Ogni quanto fare la MOC?","Ma la MOC si può fare solo ogni 2 anni?

Molte persone lo credono, ma non è così!

📌 Nel sistema sanitario spesso viene prescritta ogni 2 anni, manon perché farla prima sia pericoloso.

La MOC-DEXA ha, infatti, un impatto radiologico molto basso, questo significa che, quando serve monitorare un percorso, può essere ripetuta anche prima.

💡 Ma allora quando rifarla? Lo decide lo specialista, in base a:
✔️ situazione iniziale
✔️ obiettivi del percorso
✔️ tempi biologici reali delle ossa

Perchè ossa e articolazioni non cambiano in 2 settimane. Anche con integrazione costante, come il collagene, servono spessoalmeno 6 mesiper osservare cambiamenti misurabili.

❤️ Per questo il monitoraggio va fatto bene: né troppo presto… né troppo tardi.

💬 Lo sapevi? Scrivicelo nei commenti",73,"05/18/2026 03:02",auto,https://www.facebook.com/reel/950478870951357/,0,0,Video,,,,,Totale,29138,28735,285,253,14,18,447,,447,,28766,0,28735,0,13078,3039,13078,2971,0,13078,465321.042,18.013,0,0,0,174,174,11092.646,94.005474576271
1587439766716103,100063502856757,NEOGELA,"Articolazioni che scricchiolano: cosa sapere","Se le tue articolazioni scricchiolano devi sapere che: 
🦴a volte è solo rigidità
🦴altre è un segnale da ascoltare

Molti fastidi articolari nascono da: troppe ore seduti o poca attività fisica che possono portare a 👉 scricchiolii, piccoli dolori o rigidità.

⚠️ Ma ci sono segnali che meritano attenzione:
❌ gonfiore
❌ calore dell’articolazione
❌ rigidità al mattino prolungata
❌ dolore notturno
❌ difficoltà nei movimenti quotidiani

In questi casi è sempre meglio eseguire una valutazione clinica, degli esami del sangue mirati o un’ecografia per tendini.

👉 Integratori come il collagene unito alla vitamina C possono supportare articolazioni, cartilagini e tessuti connettivi.

💙 Ma attenzione, funzionano se inseriti in un approccio completo: movimento, stile di vita corretto e controlli quando servono.

👉 Scopri di più su neogela.com",99,"05/20/2026 03:02",auto,https://www.facebook.com/reel/943475542012089/,0,0,Video,,,,,Totale,1185,1086,11,10,0,1,4,,4,,1185,0,1086,0,410,51,391,50,0,410,13001.234,11.712,0,0,0,,,,
1589274889865924,100063502856757,NEOGELA,"Test veloce sulle abitudini alimentari","Queste abitudini sono corrette o stanno mettendo in difficoltà il tuo corpo? 🤔

Ecco un test veloce 👆hai 3 secondi per rispondere ad ogni domanda ⏳

Spesso sono proprio le abitudini quotidiane a fare la differenza sulla salute e imparare a fare scelte migliori può aiutarti a prevenire alcune problematiche legate a:
🦴 ossa
🏃 articolazioni
💪 tessuti connettivi
🦵 recupero muscolare
⚖️ equilibrio metabolico 

👇 Quante ne hai indovinate? Scrivicelo nei commenti!",66,"05/22/2026 03:04",N/A,https://www.facebook.com/reel/1370535441559859/,0,0,Video,,,,,Totale,690,636,3,3,0,0,0,,,,690,0,636,0,218,37,214,37,0,218,5400.975,8.465,0,0,0,,,,
1593891046070975,100063502856757,NEOGELA,"5 dubbi che hanno tutti prima di iniziare👇

🦴 Serve solo per pelle e capelli?
🦴 A che età ha senso iniziare?
🦴 Dopo quanto tempo si vedono i risultati?
🦴 Tutti i collageni sono uguali?
🦴 Come capire se è adatto alle proprie esigenze?

Quando si parla di collagene, ossa e articolazioni, online trovi tutto e il contrario di tutto.
Per questo abbiamo raccolto i 5 dubbi più comuni che leggiamo ogni giorno per rispondere chiaramente e aiutarti nella tua scelta! 💙

💬 Quale di questi dubbi vorresti approfondire? Scrivilo nei commenti 👇",,0,"05/27/2026 03:00",N/A,https://www.facebook.com/neogela/posts/pfbid09GPCCfTujuQCvxSCnBZygy68iKdtiwwG8jZn7CUEgjfU59yggAWqVAkVCS9VQLVwl,0,0,Foto,,,,,Totale,373,244,1,1,0,0,1,1,,,373,0,244,0,0,0,0,0,0,0,,,,,,,,,
